head	relation	tail	time
Police (Philippines)	fight with small arms and light weapons	Men (Philippines)	2008-01-05
Police (Philippines)	fight with small arms and light weapons	Men (Philippines)	2015-11-18
Police (Philippines)	fight with small arms and light weapons	Men (Philippines)	2011-11-11
Police (Philippines)	fight with small arms and light weapons	Thief (Philippines)	2011-12-31
Police (Philippines)	fight with small arms and light weapons	Men (Philippines)	2012-04-30
Police (Philippines)	fight with small arms and light weapons	Men (Philippines)	2008-07-13
Police (Philippines)	fight with small arms and light weapons	Thief (Philippines)	2011-07-20
Police (Philippines)	fight with small arms and light weapons	Thief (Philippines)	2009-03-13
Police (Philippines)	fight with small arms and light weapons	Children (Philippines)	2008-12-12
Police (Philippines)	fight with small arms and light weapons	Men (Philippines)	2005-07-02
City Mayor (Australia)	Criticize or denounce	Citizen (Australia)	2008-01-15
City Mayor (Australia)	Criticize or denounce	Member of Parliament (Australia)	2007-05-11
Military Personnel (India)	Consult	High Ranking Military Personnel (India)	2007-12-04
Military Personnel (India)	Consult	A.K. Antony	2007-09-19
Media Personnel (Mali)	Make statement	Ibrahim Boubacar Keïta	2013-11-04
Media Personnel (Mali)	Make statement	Military (Mali)	2014-11-04
Wen Jiabao	Express intent to meet or negotiate	China	2010-08-17
Wen Jiabao	Express intent to meet or negotiate	Association of Southeast Asian Nations	2012-11-16
Wen Jiabao	Express intent to meet or negotiate	China	2008-12-13
Wen Jiabao	Express intent to meet or negotiate	Emperor Akihito	2007-04-04
Wen Jiabao	Express intent to meet or negotiate	Lee Myung Bak	2009-10-09
Wen Jiabao	Express intent to meet or negotiate	Mahmoud Abbas	2005-05-15
Wen Jiabao	Express intent to meet or negotiate	President of the Senate (Czech Republic)	2005-12-08
Wen Jiabao	Express intent to meet or negotiate	Japan	2007-01-14
Wen Jiabao	Express intent to meet or negotiate	Lee Myung Bak	2008-12-13
Wen Jiabao	Express intent to meet or negotiate	South Korea	2009-03-31
Wen Jiabao	Express intent to meet or negotiate	Businessperson (China)	2012-11-20
Wen Jiabao	Express intent to meet or negotiate	Japan	2009-10-10
Wen Jiabao	Express intent to meet or negotiate	Prem Tinsulanonda	2012-11-14
Wen Jiabao	Express intent to meet or negotiate	South Africa	2006-06-15
Wen Jiabao	Express intent to meet or negotiate	South Korea	2007-01-27
Wen Jiabao	Express intent to meet or negotiate	Lee Myung Bak	2011-05-18
Wen Jiabao	Express intent to meet or negotiate	Portugal	2005-12-07
Wen Jiabao	Express intent to meet or negotiate	Japan	2010-05-15
Wen Jiabao	Express intent to meet or negotiate	Barack Obama	2010-09-14
Wen Jiabao	Express intent to meet or negotiate	Angela Merkel	2009-01-28
Wen Jiabao	Express intent to meet or negotiate	Head of Government (South Korea)	2007-04-10
Wen Jiabao	Express intent to meet or negotiate	Dmitry Anatolyevich Medvedev	2012-11-30
Wen Jiabao	Express intent to meet or negotiate	Japan	2007-04-08
Wen Jiabao	Express intent to meet or negotiate	Thailand	2009-10-21
Wen Jiabao	Express intent to meet or negotiate	Mikhail Yefimovich Fradkov	2005-03-15
Wen Jiabao	Express intent to meet or negotiate	Lee Myung Bak	2008-11-21
Wen Jiabao	Express intent to meet or negotiate	Herman Van Rompuy	2011-10-21
Wen Jiabao	Express intent to meet or negotiate	Lee Myung Bak	2011-05-16
Wen Jiabao	Express intent to meet or negotiate	China	2008-10-05
Wen Jiabao	Express intent to meet or negotiate	Association of Southeast Asian Nations	2007-01-11
Wen Jiabao	Express intent to meet or negotiate	Association of Southeast Asian Nations	2007-01-15
Wen Jiabao	Express intent to meet or negotiate	Pervez Musharraf	2005-04-04
Wen Jiabao	Express intent to meet or negotiate	Shaukat Aziz	2005-04-05
Wen Jiabao	Express intent to meet or negotiate	Lee Myung Bak	2009-10-10
Wen Jiabao	Express intent to meet or negotiate	Pavol Hrusovský	2005-09-19
Wen Jiabao	Express intent to meet or negotiate	Media Personnel (Japan)	2007-04-04
Wen Jiabao	Express intent to meet or negotiate	Angela Merkel	2009-12-17
Wen Jiabao	Express intent to meet or negotiate	Portugal	2005-12-08
Wen Jiabao	Express intent to meet or negotiate	Businessperson (Turkey)	2010-10-09
Wen Jiabao	Express intent to meet or negotiate	Angela Merkel	2006-05-21
Wen Jiabao	Express intent to meet or negotiate	Kazakhstan	2008-10-23
Wen Jiabao	Express intent to meet or negotiate	Yasuo Fukuda	2007-11-19
Wen Jiabao	Express intent to meet or negotiate	Chancellor of the Exchequer	2009-01-22
Wen Jiabao	Express intent to meet or negotiate	Emperor Akihito	2010-05-29
Korean Workers Party	Make an appeal or request	Party Member (North Korea)	2005-07-04
Korean Workers Party	Make an appeal or request	Citizen (North Korea)	2007-01-08
José Dirceu de Oliveira e Silva	Criticize or denounce	Luiz Gushiken	2008-07-10
José Dirceu de Oliveira e Silva	Criticize or denounce	Citizen (Brazil)	2012-10-03
José Dirceu de Oliveira e Silva	Criticize or denounce	Ministry (Brazil)	2005-04-15
José Dirceu de Oliveira e Silva	Criticize or denounce	Citizen (Brazil)	2005-10-21
Tony Blair	Host a visit	Mahmoud Abbas	2007-02-21
Tony Blair	Host a visit	Mahmoud Abbas	2006-12-18
José Miguel Insulza	Make statement	Colombia	2009-07-22
José Miguel Insulza	Make statement	Rafael Correa	2006-11-27
José Miguel Insulza	Make statement	Head of Government (Colombia)	2008-01-02
José Miguel Insulza	Make statement	Barack Obama	2015-03-09
Labor Union (Nigeria)	Praise or endorse	Government (Nigeria)	2011-11-15
Labor Union (Nigeria)	Praise or endorse	Bukola Saraki	2013-12-27
Labor Union (Nigeria)	Praise or endorse	Government (Nigeria)	2014-11-26
Labor Union (Nigeria)	Praise or endorse	Government (Nigeria)	2015-02-14
Labor Union (Nigeria)	Praise or endorse	South Africa	2015-05-05
Lawmaker (Colombia)	Make statement	Head of Government (Colombia)	2008-04-23
Malaysia	Engage in negotiation	Yemen	2008-10-24
Malaysia	Engage in negotiation	Cambodia	2008-06-19
Malaysia	Engage in negotiation	Iran	2006-07-29
Malaysia	Engage in negotiation	Mwai Kibaki	2007-04-18
James Baker	Make statement	National Security Advisor (South Korea)	2005-12-15
Iran	Occupy territory	Iraq	2010-06-05
Iran	Occupy territory	Iraq	2006-03-07
Iran	Occupy territory	Iraq	2009-12-18
Iran	Occupy territory	Iraq	2009-02-11
Iran	Occupy territory	Iraq	2006-11-25
Government (Sudan)	Impose administrative sanctions	Sudan	2012-01-03
Malaysia	Expel or deport individuals	Businessperson (Malaysia)	2009-10-03
Malaysia	Expel or deport individuals	Employee (Bangladesh)	2005-03-04
Malaysia	Expel or deport individuals	Businessperson (Malaysia)	2009-10-24
Inquirer	Discuss by telephone	Military Personnel (Philippines)	2009-02-02
Inquirer	Discuss by telephone	Luis Villafuerte	2009-06-03
Inquirer	Discuss by telephone	Medical Personnel (Philippines)	2008-12-13
Inquirer	Discuss by telephone	City Mayor (Philippines)	2012-11-06
Inquirer	Discuss by telephone	City Mayor (Philippines)	2014-12-04
Inquirer	Discuss by telephone	ZTE Corp.	2008-01-30
Inquirer	Discuss by telephone	Police (Philippines)	2009-04-23
Inquirer	Discuss by telephone	Alan Purisima	2011-01-16
Inquirer	Discuss by telephone	Denr	2011-01-16
Association of Southeast Asian Nations	Sign formal agreement	France	2006-07-26
Association of Southeast Asian Nations	Sign formal agreement	Japan	2011-11-18
Association of Southeast Asian Nations	Sign formal agreement	China	2009-07-09
Association of Southeast Asian Nations	Sign formal agreement	South Korea	2014-11-21
Association of Southeast Asian Nations	Sign formal agreement	China	2012-11-01
Association of Southeast Asian Nations	Sign formal agreement	China	2006-03-11
Association of Southeast Asian Nations	Sign formal agreement	Thailand	2008-09-19
Association of Southeast Asian Nations	Sign formal agreement	Thailand	2009-08-15
Association of Southeast Asian Nations	Sign formal agreement	China	2014-11-13
Association of Southeast Asian Nations	Sign formal agreement	South Korea	2006-08-24
Association of Southeast Asian Nations	Sign formal agreement	Barack Obama	2009-10-10
Association of Southeast Asian Nations	Sign formal agreement	South Korea	2009-04-09
China	Engage in symbolic act	Defense / Security Ministry (United States)	2007-11-05
China	Engage in symbolic act	Citizen (Singapore)	2015-03-25
China	Engage in symbolic act	Rupiah Banda	2009-12-16
Yemen	Return, release person(s)	Armed Rebel (Yemen)	2006-03-04
China	Meet at a 'third' location	Cambodia	2006-08-16
China	Meet at a 'third' location	Thailand	2005-05-19
China	Meet at a 'third' location	Association of Southeast Asian Nations	2010-05-18
China	Meet at a 'third' location	Xi Jinping	2015-10-20
China	Meet at a 'third' location	Japan	2009-02-22
China	Meet at a 'third' location	France	2014-11-20
China	Meet at a 'third' location	Wen Jiabao	2006-05-22
China	Meet at a 'third' location	South Korea	2005-07-14
China	Meet at a 'third' location	France	2013-06-19
China	Meet at a 'third' location	France	2014-09-21
China	Meet at a 'third' location	South Africa	2006-05-12
China	Meet at a 'third' location	Japan	2015-03-26
Armed Gang (India)	Use unconventional violence	Head of Government (India)	2014-08-12
Armed Gang (India)	Use unconventional violence	Military Personnel - Special (India)	2005-07-06
Armed Gang (India)	Use unconventional violence	Military Personnel - Special (India)	2008-11-26
Head of Government (Taiwan)	Make statement	China	2008-04-10
Head of Government (Taiwan)	Make statement	Medical Personnel (Taiwan)	2015-07-04
Central Intelligence Agency	Arrest, detain, or charge with legal action	Men (India)	2014-11-01
Central Intelligence Agency	Arrest, detain, or charge with legal action	Men (India)	2014-01-10
Central Intelligence Agency	Arrest, detain, or charge with legal action	Military Personnel (India)	2007-06-25
Central Intelligence Agency	Arrest, detain, or charge with legal action	Dalip Singh	2013-04-17
Police (South Africa)	Make statement	South African National Defence Force	2007-12-14
Police (South Africa)	Make statement	South Africa	2014-02-27
Police (South Africa)	Make statement	South African National Defence Force	2008-03-25
Police (South Africa)	Make statement	Stellenbosch University	2009-06-04
Police (South Africa)	Make statement	South Africa	2010-06-19
Police (South Africa)	Make statement	Limpopo Police	2011-12-22
Police (South Africa)	Make statement	Armed Gang (South Africa)	2006-03-26
Police (South Africa)	Make statement	Limpopo Police	2013-12-20
Police (South Africa)	Make statement	Tony Sithembiso Yengeni	2006-11-13
Police (South Africa)	Make statement	Oversight Court (South Africa)	2013-07-30
Police (South Africa)	Make statement	South Africa	2014-09-19
Police (South Africa)	Make statement	South Africa	2013-10-21
National Iranian Petrochemical Company	Make statement	Iran	2015-02-21
National Iranian Petrochemical Company	Make statement	Newspaper (Nigeria)	2015-01-19
Mahmoud Abbas	Make statement	Israeli Defense Forces	2014-01-28
Mahmoud Abbas	Make statement	United Arab Emirates	2009-11-02
Mahmoud Abbas	Make statement	Israeli Defense Forces	2012-08-19
Mahmoud Abbas	Make statement	Benjamin Netanyahu	2014-11-14
Mahmoud Abbas	Make statement	Abdel Fattah Al-Sisi	2015-11-09
Mahmoud Abbas	Make statement	Government (Palestinian Territory, Occupied)	2006-09-22
Mahmoud Abbas	Make statement	Head of Government (Pakistan)	2005-05-19
Mahmoud Abbas	Make statement	Mario Monti	2012-11-29
Mahmoud Abbas	Make statement	Associated Press	2014-03-07
Mahmoud Abbas	Make statement	Benjamin Netanyahu	2009-03-31
Mahmoud Abbas	Make statement	Nabil Shaath	2005-01-31
Mahmoud Abbas	Make statement	Government (Palestinian Territory, Occupied)	2009-02-25
Mahmoud Abbas	Make statement	Government (Palestinian Territory, Occupied)	2010-11-11
Mahmoud Abbas	Make statement	Government (Palestinian Territory, Occupied)	2010-10-15
Mahmoud Abbas	Make statement	Government (Palestinian Territory, Occupied)	2006-09-13
Mahmoud Abbas	Make statement	Government (Palestinian Territory, Occupied)	2007-04-27
Mahmoud Abbas	Make statement	Toronto Star	2006-04-08
Mahmoud Abbas	Make statement	Barack Obama	2008-11-05
Mahmoud Abbas	Make statement	Middle East	2010-12-24
Mahmoud Abbas	Make statement	UN Security Council	2006-10-20
Mahmoud Abbas	Make statement	Government (Palestinian Territory, Occupied)	2006-10-18
Mahmoud Abbas	Make statement	Media (Palestinian Territory, Occupied)	2010-10-17
Mahmoud Abbas	Make statement	Media (Palestinian Territory, Occupied)	2010-10-18
Mahmoud Abbas	Make statement	Haaretz	2009-11-20
Mahmoud Abbas	Make statement	Government (Palestinian Territory, Occupied)	2005-12-15
Mahmoud Abbas	Make statement	Islamic Militant (Palestinian Territory, Occupied)	2008-01-26
Mahmoud Abbas	Make statement	WAM news agency	2009-11-01
Mahmoud Abbas	Make statement	Intelligence Chief (Egypt)	2005-08-24
Mahmoud Abbas	Make statement	Barack Obama	2013-03-22
Barack Obama	Express intent to provide material aid	France	2015-01-20
Barack Obama	Express intent to provide material aid	Government (France)	2015-01-07
Malawi	Make an appeal or request	Indigenous People (Malawi)	2014-10-27
Kamalesh Sharma	Express intent to meet or negotiate	Lesotho	2011-04-15
Kamalesh Sharma	Express intent to meet or negotiate	Cabinet / Council of Ministers / Advisors (Trinidad and Tobago)	2009-05-03
Citizen (Sudan)	Make an appeal or request	Displaced Families (Sudan)	2015-12-29
Citizen (Sudan)	Make an appeal or request	UN Security Council	2015-01-30
Citizen (Sudan)	Make an appeal or request	Government (Sudan)	2012-03-20
Citizen (Sudan)	Make an appeal or request	Government (Sudan)	2013-04-02
Citizen (Sudan)	Make an appeal or request	International Government Organizations	2013-01-11
Citizen (Sudan)	Make an appeal or request	Government (Sudan)	2012-05-28
Citizen (Sudan)	Make an appeal or request	Sudan	2015-12-17
Citizen (Sudan)	Make an appeal or request	Government (Sudan)	2013-03-27
Citizen (Sudan)	Make an appeal or request	Muslim (Sudan)	2007-09-20
Citizen (Sudan)	Make an appeal or request	Government (Sudan)	2006-05-24
Citizen (Sudan)	Make an appeal or request	Government (Sudan)	2013-01-04
Citizen (Sudan)	Make an appeal or request	Sudan	2008-07-14
Citizen (Sudan)	Make an appeal or request	Government (Sudan)	2013-09-25
Citizen (Sudan)	Make an appeal or request	African Union	2006-01-04
Citizen (Sudan)	Make an appeal or request	Sudan	2014-06-18
Citizen (Sudan)	Make an appeal or request	African Union	2013-08-27
Citizen (Sudan)	Make an appeal or request	Government (Sudan)	2015-05-18
Citizen (Sudan)	Make an appeal or request	China	2008-01-28
Citizen (Sudan)	Make an appeal or request	Government (Sudan)	2009-04-23
Citizen (Sudan)	Make an appeal or request	African Union	2014-03-24
Citizen (Sudan)	Make an appeal or request	Government (Sudan)	2007-07-13
Citizen (Sudan)	Make an appeal or request	Government (Sudan)	2013-06-29
Citizen (Sudan)	Make an appeal or request	Government (Sudan)	2005-12-22
Citizen (Sudan)	Make an appeal or request	UN Security Council	2009-01-27
Citizen (Sudan)	Make an appeal or request	International Government Organizations	2014-05-14
Citizen (Sudan)	Make an appeal or request	Government (Sudan)	2007-05-07
Citizen (Sudan)	Make an appeal or request	Government (Sudan)	2014-06-18
Citizen (Sudan)	Make an appeal or request	Sudan	2008-08-24
Citizen (Sudan)	Make an appeal or request	Government (Sudan)	2011-03-06
Citizen (Sudan)	Make an appeal or request	Government (Sudan)	2015-03-27
Citizen (Sudan)	Make an appeal or request	Government (Sudan)	2011-09-11
Massoud Barzani	Make a visit	Iraq	2015-02-18
Massoud Barzani	Make a visit	Heinz Fischer	2015-02-14
Massoud Barzani	Make a visit	Combatant (Kurdistan Workers' Party)	2014-08-16
Massoud Barzani	Make a visit	Kuwait	2015-06-18
Education (Iran)	Make statement	Mehr News Agency	2011-08-08
Education (Iran)	Make statement	Student (Iran)	2012-01-17
UN Security Council	Appeal for diplomatic cooperation (such as policy support)	Iraq	2010-02-27
UN Security Council	Appeal for diplomatic cooperation (such as policy support)	Iraq	2006-02-22
UN Security Council	Appeal for diplomatic cooperation (such as policy support)	Citizen (Sudan)	2008-04-25
UN Security Council	Appeal for diplomatic cooperation (such as policy support)	Other Authorities / Officials (Libya)	2014-04-17
UN Security Council	Appeal for diplomatic cooperation (such as policy support)	Political Parties (Nepal)	2009-07-24
UN Security Council	Appeal for diplomatic cooperation (such as policy support)	Eritrea	2008-05-04
UN Security Council	Appeal for diplomatic cooperation (such as policy support)	Sudan	2010-06-16
African Union	Rally opposition against	South Sudan	2015-05-24
Al-Shabaab	Consult	Agence France-Presse	2011-10-04
Police (Croatia)	Use conventional military force	Women (Croatia)	2008-04-01
Portugal	Engage in diplomatic cooperation	Angola	2009-04-28
Portugal	Engage in diplomatic cooperation	Angola	2014-12-01
Portugal	Engage in diplomatic cooperation	China	2007-04-12
Portugal	Engage in diplomatic cooperation	Ireland	2011-05-26
Portugal	Engage in diplomatic cooperation	Angola	2010-04-14
Norberto Gonzales	Make statement	Military (Philippines)	2009-12-04
Norberto Gonzales	Make statement	Military (Philippines)	2010-01-24
Norberto Gonzales	Make statement	Abu Sayyaf	2007-04-23
Norberto Gonzales	Make statement	Police (Philippines)	2009-04-03
Citizen (Bangladesh)	Make an appeal or request	Employee (Bangladesh)	2008-02-17
Citizen (Bangladesh)	Make an appeal or request	Member of Parliament (Bangladesh)	2006-02-08
Citizen (Bangladesh)	Make an appeal or request	Employee (Bangladesh)	2006-11-29
Citizen (Bangladesh)	Make an appeal or request	Cabinet / Council of Ministers / Advisors (Bangladesh)	2012-11-07
Citizen (Bangladesh)	Make an appeal or request	Employee (Bangladesh)	2005-02-12
Citizen (Bangladesh)	Make an appeal or request	Zillur Rahman	2012-10-07
Citizen (Bangladesh)	Make an appeal or request	Indigenous People (Bangladesh)	2005-04-16
Citizen (Bangladesh)	Make an appeal or request	Employee (Bangladesh)	2015-12-27
Citizen (Bangladesh)	Make an appeal or request	Rapid Action Battalion	2005-05-05
Citizen (Bangladesh)	Make an appeal or request	Head of Government (Bangladesh)	2013-12-04
Kazakhstan	Praise or endorse	Islam Karimov	2007-12-25
Kazakhstan	Praise or endorse	Citizen (Kyrgyzstan)	2005-09-02
Kazakhstan	Praise or endorse	China	2012-06-06
Kazakhstan	Praise or endorse	China	2009-03-30
Kazakhstan	Praise or endorse	France	2009-10-12
Citizen (Brazil)	Demand	Head of Government (Brazil)	2006-11-17
Criminal (Australia)	Demand	Citizen (Australia)	2005-06-23
Criminal (Australia)	Demand	Citizen (Australia)	2012-09-24
Head of Government (Turkmenistan)	Consult	South Korea	2014-06-16
Head of Government (Turkmenistan)	Consult	Gurbanguly Berdymukhammedov	2010-04-22
Head of Government (Turkmenistan)	Consult	Gurbanguly Berdymukhammedov	2008-09-30
Head of Government (Turkmenistan)	Consult	Wang Yi	2013-07-18
Head of Government (Turkmenistan)	Consult	Police (Turkmenistan)	2005-06-22
Head of Government (Turkmenistan)	Consult	Arseniy Yatsenyuk	2007-06-29
Head of Government (Turkmenistan)	Consult	Member of Legislative (Govt) (Turkmenistan)	2014-09-18
Head of Government (Turkmenistan)	Consult	Islam Karimov	2014-10-24
Lawyer/Attorney (Germany)	Investigate	Men (United States)	2013-06-24
Lawyer/Attorney (Germany)	Investigate	Business (Germany)	2009-05-11
Lawyer/Attorney (Germany)	Investigate	Business (Germany)	2006-03-29
Lawyer/Attorney (Germany)	Investigate	Angela Merkel	2014-06-04
Lawyer/Attorney (Germany)	Investigate	Business (Germany)	2005-04-30
Lawyer/Attorney (Germany)	Investigate	Karl-Theodor zu Guttenberg	2011-03-07
Lawyer/Attorney (Germany)	Investigate	Alexander Valterovich Litvinenko	2006-12-12
Media (Slovakia)	Make statement	Police (Slovakia)	2005-09-14
Al Jazeera	Consult	Head of Government (Egypt)	2010-11-25
Al Jazeera	Consult	Iraq	2015-02-27
Al Jazeera	Consult	Police (Syria)	2011-09-06
Al Jazeera	Consult	Tahirul Qadri	2014-08-14
Al Jazeera	Consult	Sandile Ngcobo	2009-10-21
Al Jazeera	Consult	Media Personnel (China)	2008-04-26
Al Jazeera	Consult	Tichaona Jokonya	2006-01-19
Al Jazeera	Consult	Evo Morales	2005-12-20
Al Jazeera	Consult	Mahmoud Abbas	2006-02-20
Armed Rebel (Ukraine)	Use unconventional violence	Military (Ukraine)	2014-12-04
Armed Rebel (Ukraine)	Use unconventional violence	Military (Ukraine)	2014-07-29
Armed Rebel (Ukraine)	Use unconventional violence	Military (Ukraine)	2014-11-24
Armed Rebel (Ukraine)	Use unconventional violence	Citizen (Australia)	2014-10-13
Armed Rebel (Ukraine)	Use unconventional violence	Military (Ukraine)	2015-07-15
Armed Rebel (Ukraine)	Use unconventional violence	Women (Ukraine)	2015-08-17
Armed Rebel (Ukraine)	Use unconventional violence	Military (Ukraine)	2015-06-30
Armed Rebel (Ukraine)	Use unconventional violence	Military (Ukraine)	2014-07-25
Armed Rebel (Ukraine)	Use unconventional violence	Military (Ukraine)	2014-12-12
Armed Rebel (Ukraine)	Use unconventional violence	Military (Ukraine)	2014-07-13
Armed Rebel (Ukraine)	Use unconventional violence	Military (Ukraine)	2014-05-06
Boris Johnson	Make an appeal or request	Citizen (United Kingdom)	2015-04-30
Boris Johnson	Make an appeal or request	Court Judge (United Kingdom)	2011-08-15
Anupong Paochinda	Make an appeal or request	Governor (Thailand)	2014-11-24
Student (Iraq)	Make statement	Iraq	2014-05-11
Student (Iraq)	Make statement	Iraq	2014-08-24
Julie Bishop	Consult	Nadjib Riphat Kesoema	2014-06-02
Julie Bishop	Consult	Wang Yi	2013-09-24
Party Member (Thailand)	Make statement	Jatuporn Prompan	2006-04-27
Party Member (Thailand)	Make statement	Member of Parliament (Thailand)	2011-01-18
Party Member (Thailand)	Make statement	Protester (Thailand)	2013-11-27
Party Member (Thailand)	Make statement	Governor (Thailand)	2013-02-25
Party Member (Thailand)	Make statement	Minister Kachornprasart	2005-02-19
Party Member (Thailand)	Make statement	Thailand	2006-10-30
Party Member (Thailand)	Make statement	Minister Kachornprasart	2005-10-13
Frank Bainimarama	Expel or deport individuals	High Commission (Australia)	2009-11-09
Military (Philippines)	Arrest, detain, or charge with legal action	Men (Philippines)	2005-12-21
Military (Philippines)	Arrest, detain, or charge with legal action	Men (Philippines)	2011-06-22
Military (Philippines)	Arrest, detain, or charge with legal action	Military Personnel (Philippines)	2008-10-27
Military (Philippines)	Arrest, detain, or charge with legal action	Muslim Militant (Philippines)	2009-09-01
Military (Philippines)	Arrest, detain, or charge with legal action	Employee (Philippines)	2012-05-04
Military (Philippines)	Arrest, detain, or charge with legal action	Military Personnel (Philippines)	2009-09-24
Military (Philippines)	Arrest, detain, or charge with legal action	Military Personnel (Philippines)	2013-10-11
Military (Philippines)	Arrest, detain, or charge with legal action	Children (Philippines)	2007-05-11
Military (Philippines)	Arrest, detain, or charge with legal action	Abu Sayyaf	2008-11-21
Military (Philippines)	Arrest, detain, or charge with legal action	Men (Philippines)	2006-11-07
Military (Philippines)	Arrest, detain, or charge with legal action	Military Personnel (Philippines)	2008-05-02
Military (Philippines)	Arrest, detain, or charge with legal action	Military Personnel (Philippines)	2006-07-10
Belize	Express intent to meet or negotiate	Guatemala	2005-12-02
Belize	Express intent to meet or negotiate	Mexico	2013-02-20
Police (Israel)	Physically assault	Detainee (Palestinian Territory, Occupied)	2012-04-26
Business (Germany)	Consult	Karl-Theodor zu Guttenberg	2009-05-04
Foreign Affairs (Venezuela)	Make statement	Iran	2011-03-16
Foreign Affairs (Venezuela)	Make statement	Ministry (Brazil)	2012-08-31
Armed Rebel (Syria)	Protest violently, riot	Police (Syria)	2014-02-06
Armed Rebel (Syria)	Protest violently, riot	Police (Syria)	2012-04-25
France	Impose embargo, boycott, or sanctions	Iran	2006-11-03
France	Impose embargo, boycott, or sanctions	Iran	2008-02-22
France	Impose embargo, boycott, or sanctions	Iran	2009-01-20
France	Impose embargo, boycott, or sanctions	Iran	2010-06-13
Makhdoom Shah Mahmood Qureshi	Make statement	Government (Pakistan)	2008-12-03
Makhdoom Shah Mahmood Qureshi	Make statement	Scholar (Pakistan)	2009-06-12
Makhdoom Shah Mahmood Qureshi	Make statement	Government (Pakistan)	2010-03-03
Eritrea	Sign formal agreement	Yemen	2006-11-10
Eritrea	Sign formal agreement	Ethiopia	2008-05-11
Eritrea	Sign formal agreement	Ethiopia	2006-03-20
France	Reduce or break diplomatic relations	Iran	2005-12-01
France	Reduce or break diplomatic relations	Iran	2005-08-24
France	Reduce or break diplomatic relations	Yemen	2013-08-06
France	Reduce or break diplomatic relations	Iran	2006-01-31
Governor (Kenya)	Make statement	Police (Kenya)	2013-07-30
Governor (Kenya)	Make statement	Head of Government (Kenya)	2013-04-08
Governor (Kenya)	Make statement	Kenya Broadcasting Corporation	2013-05-31
Governor (Kenya)	Make statement	Police (Kenya)	2013-04-19
Governor (Kenya)	Make statement	Police (Kenya)	2013-11-01
Governor (Kenya)	Make statement	Police (Kenya)	2014-07-21
Governor (Kenya)	Make statement	Al-Shabaab	2015-06-02
Governor (Kenya)	Make statement	William Ruto	2014-09-02
Governor (Kenya)	Make statement	Police (Kenya)	2014-03-04
Governor (Kenya)	Make statement	Police (Kenya)	2014-03-21
Nigerian Navy	Make an appeal or request	Citizen (Nigeria)	2015-04-10
Citizen (Africa)	Express intent to engage in diplomatic cooperation (such as policy support)	Yemen	2013-02-13
Branimir Glavas	Make an appeal or request	Citizen (Croatia)	2007-04-17
Branimir Glavas	Make an appeal or request	Police (Croatia)	2007-04-18
Ante Gotovina	Make an appeal or request	Citizen (Croatia)	2012-11-16
Ante Gotovina	Make an appeal or request	Citizen (Croatia)	2012-01-22
Lawyer/Attorney (Argentina)	Criticize or denounce	Cristina Fernández de Kirchner	2013-06-12
Lawyer/Attorney (Argentina)	Criticize or denounce	Carlos Saul Menem	2005-11-23
Lawyer/Attorney (Argentina)	Criticize or denounce	Federal Judge (Argentina)	2008-08-21
France	Make a visit	Iran	2015-09-21
France	Make a visit	South Korea	2005-05-10
France	Make a visit	Yemen	2005-02-14
France	Make a visit	Romania	2010-08-19
France	Make a visit	Iran	2013-12-09
France	Make a visit	Djibouti	2013-02-23
France	Make a visit	Iran	2005-07-30
France	Make a visit	Angola	2015-07-02
France	Make a visit	Iran	2014-02-04
France	Make a visit	Niger	2010-09-22
France	Make a visit	Xi Jinping	2014-03-28
France	Make a visit	Benjamin Netanyahu	2013-11-17
France	Make a visit	Bolivia	2013-07-03
France	Make a visit	Iran	2015-08-18
France	Make a visit	South Africa	2011-11-11
France	Make a visit	Iraq	2009-04-01
France	Make a visit	China	2008-05-27
Lawmaker (Japan)	Consult	Yu Zhengsheng	2015-03-23
Lawmaker (Japan)	Consult	Zhang Dejiang	2014-05-06
Lawmaker (Japan)	Consult	Cabinet / Council of Ministers / Advisors (Japan)	2006-08-15
Lawmaker (Japan)	Consult	Yasuo Fukuda	2007-11-05
Lawmaker (Japan)	Consult	Cabinet / Council of Ministers / Advisors (Japan)	2005-02-08
Iran	Return, release person(s)	Citizen (United Kingdom)	2007-03-31
Iran	Return, release person(s)	Seamen (United Kingdom)	2007-04-06
Iran	Return, release person(s)	Ministry (Iran)	2011-05-30
Iran	Return, release person(s)	Indigenous People (Belgium)	2009-12-09
Iran	Return, release person(s)	Citizen (United Kingdom)	2007-04-04
Wen Jiabao	Investigate	China	2006-07-23
Wen Jiabao	Investigate	France	2005-12-07
Wen Jiabao	Investigate	China	2006-07-24
High Ranking Military Personnel (India)	Make statement	Media (India)	2015-09-05
High Ranking Military Personnel (India)	Make statement	A.K. Antony	2012-03-28
High Ranking Military Personnel (India)	Make statement	Media (India)	2012-11-10
High Ranking Military Personnel (India)	Make statement	Ministry (Indian Administered Kashmir)	2013-09-25
Aam Aadmi Party	Accuse	Head of Government (India)	2015-01-16
Aam Aadmi Party	Accuse	Shivraj Singh Chouhan	2015-10-09
Jitan Ram Manjhi	Make statement	Member of Parliament (India)	2015-09-26
Mahmoud Abbas	Host a visit	Envoy (United States)	2012-08-12
Mahmoud Abbas	Host a visit	Jon Corzine	2005-03-13
Mahmoud Abbas	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2006-10-10
Mahmoud Abbas	Host a visit	Tony Blair	2009-01-05
National Action Party (Mexico)	Make statement	Mexico	2013-07-17
