,head,relation,tail,time
1311,Ethiopia,Provide military protection or peacekeeping,Sudan,2012-03-07
1312,Campbell Newman,"Accuse of crime, corruption",Citizen (Australia),2012-03-15
1313,Citizen (Australia),Make an appeal or request,Campbell Newman,2012-03-15
1314,UN Security Council,Make statement,Iran,2012-03-22
1315,Iran,Express intent to engage in diplomatic cooperation (such as policy support),UN Security Council,2012-03-22
1316,Qatar,Host a visit,Iraq,2012-04-03
1317,Iraq,Make a visit,Qatar,2012-04-03
1318,Barack Obama,Make a visit,Colombia,2012-04-14
1319,Colombia,Host a visit,Barack Obama,2012-04-14
1320,Sudan,Employ aerial weapons,South Sudan,2012-04-19
1321,South Sudan,Use conventional military force,Sudan,2012-04-19
1322,Sudan,Occupy territory,South Sudan,2012-04-23
1323,Sudan,Employ aerial weapons,South Sudan,2012-04-23
1324,South Sudan,Use conventional military force,Sudan,2012-04-23
1325,Police (Australia),Make an appeal or request,Citizen (Australia),2012-04-24
1326,Citizen (Australia),Physically assault,Police (Australia),2012-04-24
1327,Citizen (Norway),Demonstrate or rally,Anders Breivik,2012-04-25
1328,Anders Breivik,Use unconventional violence,Citizen (Norway),2012-04-25
1329,South Sudan,Praise or endorse,China,2012-04-25
1330,China,Engage in diplomatic cooperation,South Sudan,2012-04-25
1331,Citizen (Thailand),Host a visit,Abhisit Vejjajiva,2012-04-30
1332,Abhisit Vejjajiva,Make a visit,Citizen (Thailand),2012-04-30
1333,Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2012-05-08
1334,South Korea,Sign formal agreement,Japan,2012-05-08
1335,Lee Myung Bak,Engage in negotiation,Wen Jiabao,2012-05-12
1336,China,Host a visit,Yoshihiko Noda,2012-05-12
1337,Yoshihiko Noda,Make a visit,China,2012-05-12
1338,Wen Jiabao,Express intent to cooperate,Lee Myung Bak,2012-05-12
1339,Wen Jiabao,Express intent to cooperate,Yoshihiko Noda,2012-05-15
1340,Yoshihiko Noda,Consult,Wen Jiabao,2012-05-15
1341,Iraq,Host a visit,Ministry (Iran),2012-05-16
1342,Ministry (Iran),Make a visit,Iraq,2012-05-16
1343,Citizen (Nigeria),Use unconventional violence,Farm Worker (Nigeria),2012-05-22
1344,Farm Worker (Nigeria),Use conventional military force,Citizen (Nigeria),2012-05-22
1345,Iran,Make a visit,China,2012-06-06
1346,China,Host a visit,Iran,2012-06-06
1347,Mexico,Host a visit,Lee Myung Bak,2012-06-11
1348,Lee Myung Bak,Make a visit,Mexico,2012-06-11
1349,Iraq,Host a visit,Agence France-Presse,2012-06-13
1350,Agence France-Presse,Make a visit,Iraq,2012-06-13
1351,Alexis Tsipras,Engage in negotiation,Antonis Samaras,2012-06-18
1352,Antonis Samaras,Express intent to meet or negotiate,Alexis Tsipras,2012-06-18
1353,Barack Obama,Make a visit,Mexico,2012-06-18
1354,Mexico,Engage in negotiation,Barack Obama,2012-06-18
1355,Citizen (Australia),Use unconventional violence,Police (Australia),2012-06-20
1356,Police (Australia),Make an appeal or request,Citizen (Australia),2012-06-20
1357,Bolivia,Engage in negotiation,Mahmoud Ahmadinejad,2012-06-20
1358,Mahmoud Ahmadinejad,Make a visit,Bolivia,2012-06-20
1359,Police (Australia),Accuse,Citizen (Australia),2012-06-20
1360,Wen Jiabao,Consult,Cristina Fernández de Kirchner,2012-06-25
1361,Cristina Fernández de Kirchner,Praise or endorse,Wen Jiabao,2012-06-25
1362,Cristina Fernández de Kirchner,Host a visit,Wen Jiabao,2012-06-25
1363,Mehr News Agency,Engage in negotiation,Iran,2012-06-26
1364,Iran,Express intent to cooperate,Mehr News Agency,2012-06-26
1365,Nonaligned Movement,Make a visit,Iran,2012-06-29
1366,Iran,Host a visit,Nonaligned Movement,2012-06-29
1367,Iraq,Engage in diplomatic cooperation,Iran,2012-07-01
1368,Iran,Sign formal agreement,Iraq,2012-07-01
1369,Japan,Criticize or denounce,Dmitry Anatolyevich Medvedev,2012-07-03
1370,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Japan,2012-07-03
1371,Iran,Consult,Mahmoud Abbas,2012-07-12
1372,Mahmoud Abbas,Express intent to meet or negotiate,Iran,2012-07-12
1373,Iran,Host a visit,Nonaligned Movement,2012-07-15
1374,Nonaligned Movement,Praise or endorse,Iran,2012-07-15
1375,Cristina Fernández de Kirchner,Make a visit,Bolivia,2012-07-19
1376,Bolivia,Host a visit,Cristina Fernández de Kirchner,2012-07-19
1377,Criminal (Israel),Engage in negotiation,Police (Israel),2012-07-31
1378,Police (Israel),Confiscate property,Criminal (Israel),2012-07-31
1379,Nonaligned Movement,Make a visit,Iran,2012-08-18
1380,Iran,Express intent to meet or negotiate,Nonaligned Movement,2012-08-18
1381,Nonaligned Movement,Make a visit,Iran,2012-08-22
1382,Iran,Express intent to meet or negotiate,Nonaligned Movement,2012-08-22
1383,Nonaligned Movement,Make a visit,Iran,2012-09-03
1384,Iran,Host a visit,Nonaligned Movement,2012-09-03
1385,Iran,Make statement,Nonaligned Movement,2012-09-04
1386,Nonaligned Movement,Express intent to meet or negotiate,Iran,2012-09-04
1387,China,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2012-09-06
1388,Cabinet / Council of Ministers / Advisors (United States),Consult,China,2012-09-06
1389,China,Host a visit,Wen Jiabao,2012-09-11
1390,Wen Jiabao,Make a visit,China,2012-09-11
1391,Japan,"Reject proposal to meet, discuss, or negotiate",China,2012-09-26
1392,China,Consult,Japan,2012-09-26
1393,Sudan,Sign formal agreement,South Sudan,2012-09-26
1394,South Sudan,Express intent to engage in diplomatic cooperation (such as policy support),Sudan,2012-09-26
1395,South Sudan,Accuse,Sudan,2012-09-26
1396,Japan,Engage in diplomatic cooperation,China,2012-09-28
1397,China,Accuse,Japan,2012-09-28
1398,Angela Merkel,Consult,Antonis Samaras,2012-10-09
1399,Head of Government (Greece),Engage in negotiation,Angela Merkel,2012-10-09
1400,Antonis Samaras,Express intent to engage in diplomatic cooperation (such as policy support),Angela Merkel,2012-10-09
1401,Antonis Samaras,Host a visit,Angela Merkel,2012-10-09
1402,Angela Merkel,Consult,Head of Government (Greece),2012-10-09
1403,Defense / Security Ministry (United States),Make a visit,Iraq,2012-10-18
1404,Iraq,Host a visit,Defense / Security Ministry (United States),2012-10-18
1405,Government (Nigeria),Make pessimistic comment,Citizen (Nigeria),2012-10-24
1406,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2012-10-24
1407,Government (Nigeria),Provide humanitarian aid,Citizen (Nigeria),2012-10-25
1408,Citizen (Nigeria),Bring lawsuit against,Government (Nigeria),2012-10-25
1409,Government (Nigeria),Accuse,Citizen (Nigeria),2012-10-25
1410,Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2012-10-31
1411,South Korea,Make pessimistic comment,Japan,2012-10-31
1412,Herman Van Rompuy,Make a visit,Vietnam,2012-11-01
1413,Vietnam,Host a visit,Herman Van Rompuy,2012-11-01
1414,Wen Jiabao,Praise or endorse,Barack Obama,2012-11-20
1415,Barack Obama,Meet at a 'third' location,Wen Jiabao,2012-11-20
1416,South Sudan,Host a visit,Envoy (United States),2012-12-02
1417,Envoy (United States),Make a visit,South Sudan,2012-12-02
1418,Xi Jinping,Make a visit,China,2012-12-07
1419,Cabinet / Council of Ministers / Advisors (United States),Express intent to meet or negotiate,Northern Ireland,2012-12-07
1420,China,Make statement,Xi Jinping,2012-12-07
1421,Northern Ireland,Engage in symbolic act,Cabinet / Council of Ministers / Advisors (United States),2012-12-07
1422,South Sudan,Make statement,Sudan,2013-01-04
1423,Sudan,Consult,South Sudan,2013-01-04
1424,South Sudan,Express intent to cooperate,Sudan,2013-01-05
1425,Sudan,Consult,South Sudan,2013-01-05
1426,Ed Royce,Make a visit,South Korea,2013-01-08
1427,South Korea,Host a visit,Ed Royce,2013-01-08
1428,Ed Royce,Consider policy option,South Korea,2013-01-08
1429,Iran,Host a visit,Mahmoud Ahmadinejad,2013-01-09
1430,Mahmoud Ahmadinejad,Make a visit,Iran,2013-01-09
1431,Mahmoud Ahmadinejad,Make statement,Iran,2013-01-09
1432,Abdirahman Mohamed Farole,Make a visit,Djibouti,2013-01-24
1433,Djibouti,Host a visit,Abdirahman Mohamed Farole,2013-01-24
1434,Thailand,Host a visit,Barack Obama,2013-02-07
1435,Barack Obama,Make a visit,Thailand,2013-02-07
1436,Head of Government (Pakistan),Consult,Ministry (Iran),2013-02-20
1437,Ministry (Iran),Consider policy option,Head of Government (Pakistan),2013-02-20
1438,Police (Egypt),Use conventional military force,Protester (Egypt),2013-03-05
1439,Protester (Egypt),Demonstrate or rally,Police (Egypt),2013-03-05
1440,Yoani Sánchez,Make a visit,Mexico,2013-03-10
1441,Mexico,Host a visit,Yoani Sánchez,2013-03-10
1442,Evangelos Meimarakis,Praise or endorse,Nicos Anastasiades,2013-03-11
1443,Nicos Anastasiades,Consult,Evangelos Meimarakis,2013-03-11
1444,Citizen (Australia),Use unconventional violence,Police (Australia),2013-03-18
1445,International Monetary Fund,Host a visit,Hisham Qandil,2013-03-18
1446,Police (Australia),Accuse,Citizen (Australia),2013-03-18
1447,Hisham Qandil,Engage in negotiation,International Monetary Fund,2013-03-18
1448,Barack Obama,Express intent to meet or negotiate,Benjamin Netanyahu,2013-03-20
1449,Benjamin Netanyahu,Engage in negotiation,Barack Obama,2013-03-20
1450,Xi Jinping,Express intent to cooperate,Jakaya Mrisho Kikwete,2013-03-25
1451,Jakaya Mrisho Kikwete,Consult,Xi Jinping,2013-03-25
1452,Sergey Kuzhugetovich Shoygu,Discuss by telephone,Chuck Hagel,2013-03-26
1453,Chuck Hagel,Consult,Sergey Kuzhugetovich Shoygu,2013-03-26
1454,Michael Sata,Host a visit,Yu Zhengsheng,2013-04-10
1455,Yu Zhengsheng,Make a visit,Michael Sata,2013-04-10
1456,Chuck Hagel,Make a visit,Middle East,2013-04-24
1457,Abdel Fattah Al-Sisi,Consult,Chuck Hagel,2013-04-24
1458,Chuck Hagel,Engage in negotiation,Abdel Fattah Al-Sisi,2013-04-24
1459,Middle East,Host a visit,Chuck Hagel,2013-04-24
1460,China,Host a visit,Catherine Ashton,2013-04-26
1461,Catherine Ashton,Make a visit,China,2013-04-26
1462,China,Make statement,Japan,2013-04-26
1463,Japan,Express intent to meet or negotiate,China,2013-04-26
1464,Northern Ireland,Host a visit,Barack Obama,2013-05-10
1465,Barack Obama,Make a visit,Northern Ireland,2013-05-10
1466,Xi Jinping,Make an appeal or request,China,2013-05-15
1467,China,Host a visit,Mahmoud Abbas,2013-05-15
1468,Mahmoud Abbas,Make a visit,China,2013-05-15
1469,China,Host a visit,Xi Jinping,2013-05-15
1470,Mahmoud Ahmadinejad,Make statement,Iran,2013-05-18
1471,Iran,Host a visit,Mahmoud Ahmadinejad,2013-05-18
1472,Xi Jinping,Express intent to settle dispute,Barack Obama,2013-06-08
1473,Barack Obama,Make an appeal or request,Xi Jinping,2013-06-08
1474,Xi Jinping,Make optimistic comment,Barack Obama,2013-06-08
1475,Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Xi Jinping,2013-06-09
1476,Xi Jinping,Consult,Barack Obama,2013-06-09
1477,Ministry (Nigeria),Express intent to cooperate,Citizen (Nigeria),2013-06-10
1478,Citizen (Nigeria),Use unconventional violence,Farm Worker (Nigeria),2013-06-10
1479,Citizen (Nigeria),Accuse,Ministry (Nigeria),2013-06-10
1480,Farm Worker (Nigeria),Use conventional military force,Citizen (Nigeria),2013-06-10
1481,Barack Obama,Demand,Xi Jinping,2013-06-11
1482,Xi Jinping,Consult,Barack Obama,2013-06-11
1483,Northern Ireland,Host a visit,Japan,2013-06-18
1484,Japan,Make a visit,Northern Ireland,2013-06-18
1485,South Africa,Host a visit,Barack Obama,2013-06-27
1486,Barack Obama,Make a visit,South Africa,2013-06-27
1487,Wang Yi,Host a visit,John Baird,2013-07-02
1488,John Baird,Make a visit,Wang Yi,2013-07-02
1489,Evo Morales,Reduce or break diplomatic relations,Bolivia,2013-07-05
1490,Bolivia,Make statement,Evo Morales,2013-07-05
1491,International Monetary Fund,Express intent to meet or negotiate,Romania,2013-07-10
1492,Romania,Appeal for diplomatic cooperation (such as policy support),International Monetary Fund,2013-07-10
1493,Iraq,Host a visit,Mahmoud Ahmadinejad,2013-07-16
1494,Mahmoud Ahmadinejad,Make a visit,Iraq,2013-07-16
1495,Nuri al-Maliki,Consult,Mahmoud Ahmadinejad,2013-07-19
1496,Mahmoud Ahmadinejad,Engage in negotiation,Nuri al-Maliki,2013-07-19
1497,Japan,Make pessimistic comment,China,2013-08-13
1498,United Arab Emirates,Engage in diplomatic cooperation,Iran,2013-08-13
1499,Iran,Consult,United Arab Emirates,2013-08-13
1500,China,Criticize or denounce,Japan,2013-08-13
1501,Oluṣẹgun Ọbasanjọ,Make a visit,Guinea-Bissau,2013-08-23
1502,Guinea-Bissau,Host a visit,Oluṣẹgun Ọbasanjọ,2013-08-23
1503,Xi Jinping,Consult,Islam Karimov,2013-09-09
1504,Islam Karimov,Sign formal agreement,Xi Jinping,2013-09-09
1505,Envoy (United States),Make a visit,South Sudan,2013-09-14
1506,South Sudan,Host a visit,Envoy (United States),2013-09-14
1507,Iran,Criticize or denounce,Barack Obama,2013-09-17
1508,Barack Obama,Consult,Iran,2013-09-17
1509,Barack Obama,Praise or endorse,Malaysia,2013-10-02
1510,Malaysia,Host a visit,Barack Obama,2013-10-02
1511,Malaysia,Host a visit,Barack Obama,2013-10-04
1512,Barack Obama,Halt negotiations,Malaysia,2013-10-04
1513,Barack Obama,Reduce or break diplomatic relations,Malaysia,2013-10-04
1514,Protester (Egypt),"Protest violently, riot",Police (Egypt),2013-10-06
1515,Police (Egypt),Use tactics of violent repression,Protester (Egypt),2013-10-06
1516,Special Court (Sierra Leone),Host a visit,Charles Taylor,2013-10-28
1517,Charles Taylor,Make a visit,Special Court (Sierra Leone),2013-10-28
1518,Ethiopia,Consult,Sudan,2013-11-05
1519,Sudan,Engage in diplomatic cooperation,Ethiopia,2013-11-05
1520,Uhuru Muigai Kenyatta,Make a visit,China,2013-11-06
1521,China,Host a visit,Uhuru Muigai Kenyatta,2013-11-06
1522,South Korea,Make a visit,China,2013-11-13
1523,China,Express intent to meet or negotiate,South Korea,2013-11-13
1524,Benjamin Netanyahu,Engage in negotiation,France,2013-11-17
1525,France,Make a visit,Benjamin Netanyahu,2013-11-17
1526,Member of Legislative (Govt) (Lebanon),Consult,Iran,2013-11-26
1527,Iran,Host a visit,Member of Legislative (Govt) (Lebanon),2013-11-26
1528,Head of Government (Turkmenistan),Make a visit,Thailand,2013-11-29
1529,Thailand,Host a visit,Head of Government (Turkmenistan),2013-11-29
1530,Nuri al-Maliki,Make a visit,Iran,2013-12-04
1531,Iran,Host a visit,Nuri al-Maliki,2013-12-04
1532,Association of Southeast Asian Nations,Consult,Japan,2013-12-12
1533,Japan,Express intent to provide economic aid,Association of Southeast Asian Nations,2013-12-12
1534,Xi Jinping,Sign formal agreement,Evo Morales,2013-12-20
1535,Evo Morales,Consult,Xi Jinping,2013-12-20
1536,Chuck Hagel,Make a visit,Middle East,2013-12-21
1537,Middle East,Host a visit,Chuck Hagel,2013-12-21
1538,Women (China),Use unconventional violence,China,2014-01-21
1539,China,"Arrest, detain, or charge with legal action",Women (China),2014-01-21
1540,Police (Bosnia and Herzegovina),Use tactics of violent repression,Protester (Bosnia and Herzegovina),2014-02-07
1541,Protester (Bosnia and Herzegovina),Demonstrate or rally,Police (Bosnia and Herzegovina),2014-02-07
1542,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-02-12
1543,Citizen (Australia),Threaten,Police (Australia),2014-02-12
1544,Cabinet / Council of Ministers / Advisors (United States),Engage in negotiation,Mahmoud Abbas,2014-02-21
1545,Mahmoud Abbas,Meet at a 'third' location,Cabinet / Council of Ministers / Advisors (United States),2014-02-21
1546,Thailand,Engage in symbolic act,Citizen (Thailand),2014-02-24
1547,Citizen (Thailand),Express intent to meet or negotiate,Thailand,2014-02-24
1548,Qatar,Make a visit,Iran,2014-02-25
1549,Iran,Host a visit,Qatar,2014-02-25
1550,Dmitry Anatolyevich Medvedev,Consult,Arseniy Yatsenyuk,2014-03-01
1551,Arseniy Yatsenyuk,Make statement,Dmitry Anatolyevich Medvedev,2014-03-01
1552,Qatar,Host a visit,Isaias Afewerki,2014-03-02
1553,Isaias Afewerki,Express intent to meet or negotiate,Qatar,2014-03-02
1554,Government (Nigeria),Provide humanitarian aid,Citizen (Nigeria),2014-03-03
1555,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-03-03
1556,Irakli Alasania,Make a visit,Japan,2014-03-05
1557,Japan,Host a visit,Irakli Alasania,2014-03-05
1558,Militant (Syria),Host a visit,Benjamin Netanyahu,2014-03-10
1559,Benjamin Netanyahu,Make a visit,Militant (Syria),2014-03-10
1560,Oman,Consult,Iran,2014-03-12
1561,South Korea,Express intent to cooperate economically,Japan,2014-03-12
1562,Iran,Express intent to engage in diplomatic cooperation (such as policy support),Oman,2014-03-12
1563,Japan,Make a visit,South Korea,2014-03-12
1564,Barack Obama,Host a visit,Head of Government (Ukraine),2014-03-12
1565,Head of Government (Ukraine),Engage in negotiation,Barack Obama,2014-03-12
1566,Head of Government (Ukraine),Meet at a 'third' location,Barack Obama,2014-03-13
1567,Barack Obama,Consult,Head of Government (Ukraine),2014-03-13
1568,Barack Obama,Demand,Mahmoud Abbas,2014-03-18
1569,Barack Obama,Make an appeal or request,Mahmoud Abbas,2014-03-18
1570,Mahmoud Abbas,Engage in negotiation,Barack Obama,2014-03-18
1571,Barack Obama,Express intent to meet or negotiate,Mahmoud Abbas,2014-03-18
1572,Barack Obama,Make statement,Mahmoud Abbas,2014-03-18
1573,Mahmoud Abbas,Make a visit,Barack Obama,2014-03-18
1574,Barack Obama,Consult,Mahmoud Abbas,2014-03-20
1575,Mahmoud Abbas,Make an appeal or request,Barack Obama,2014-03-20
1576,The Hague,Express intent to meet or negotiate,Barack Obama,2014-03-24
1577,Barack Obama,Make a visit,The Hague,2014-03-24
1578,High Commission for Refugees,Investigate,South Sudan,2014-03-31
1579,South Sudan,Host a visit,High Commission for Refugees,2014-03-31
1580,Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-04-03
1581,Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-04-03
1582,Vietnam,Consult,Mekong River Commission,2014-04-05
1583,Mekong River Commission,Make a visit,Vietnam,2014-04-05
1584,Vietnam,Host a visit,Mekong River Commission,2014-04-05
1585,Mekong River Commission,Consult,Vietnam,2014-04-05
1586,Chuck Hagel,Make a visit,China,2014-04-06
1587,China,Host a visit,Chuck Hagel,2014-04-06
1588,South Korea,Express intent to meet or negotiate,Japan,2014-04-16
1589,Japan,Make a visit,South Korea,2014-04-16
1590,South Korea,Consult,Japan,2014-04-16
1591,South Korea,Engage in negotiation,Japan,2014-04-16
1592,China,Host a visit,Naval (Bangladesh),2014-04-21
1593,Naval (Bangladesh),Make a visit,China,2014-04-21
1594,Citizen (Nigeria),Engage in diplomatic cooperation,Government (Nigeria),2014-05-02
1595,Government (Nigeria),Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2014-05-02
1596,Government (Nigeria),Express intent to cooperate,Citizen (Nigeria),2014-05-02
1597,"Children (Palestinian Territory, Occupied)",Use unconventional violence,Israeli Defense Forces,2014-05-05
1598,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-05-05
1599,Government (Nigeria),Express intent to release persons or property,Citizen (Nigeria),2014-05-05
1600,Israeli Defense Forces,Use conventional military force,"Children (Palestinian Territory, Occupied)",2014-05-05
1601,Iran,Host a visit,Nuri al-Maliki,2014-05-09
1602,South Sudan,Make a visit,Ethiopia,2014-05-09
1603,Pope Tawadros II,Express intent to meet or negotiate,United Arab Emirates,2014-05-09
1604,Ethiopia,Host a visit,South Sudan,2014-05-09
1605,Nuri al-Maliki,Make a visit,Iran,2014-05-09
1606,United Arab Emirates,Host a visit,Pope Tawadros II,2014-05-09
1607,Ramtane Lamamra,Make a visit,Mauritania,2014-05-16
1608,Mauritania,Host a visit,Ramtane Lamamra,2014-05-16
1609,Ramtane Lamamra,Express intent to meet or negotiate,Mauritania,2014-05-16
1610,Tzipi Livni,Meet at a 'third' location,Mahmoud Abbas,2014-05-18
1611,Mahmoud Abbas,Consult,Tzipi Livni,2014-05-18
1612,Citizen (Nigeria),Appeal for change in leadership,Government (Nigeria),2014-05-19
1613,Government (Nigeria),Provide aid,Citizen (Nigeria),2014-05-19
1614,Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-05-28
1615,Government (Nigeria),"Return, release person(s)",Citizen (Nigeria),2014-05-28
1616,Military (Ukraine),Use conventional military force,Armed Rebel (Russia),2014-05-29
1617,Armed Rebel (Russia),Use unconventional violence,Military (Ukraine),2014-05-29
1618,Government (Nigeria),"Arrest, detain, or charge with legal action",Citizen (Nigeria),2014-06-05
1619,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-06-05
1620,China,Consult,South Korea,2014-06-17
1621,South Korea,Engage in negotiation,China,2014-06-17
1622,China,Host a visit,Royal Administration (Spain),2014-06-19
1623,Royal Administration (Spain),Make a visit,China,2014-06-19
1624,Barack Obama,Make statement,Mexico,2014-06-20
1625,Mexico,Discuss by telephone,Barack Obama,2014-06-20
1626,Citizen (Nigeria),Accuse,Boko Haram,2014-06-24
1627,Boko Haram,Use conventional military force,Citizen (Nigeria),2014-06-24
1628,Barack Obama,Make an appeal or request,Iraq,2014-07-03
1629,Iraq,Receive deployment of peacekeepers,Barack Obama,2014-07-03
1630,Head of Government (Germany),Make a visit,China,2014-07-07
1631,China,Host a visit,Head of Government (Germany),2014-07-07
1632,Abdel Fattah Al-Sisi,Make a visit,Sudan,2014-07-08
1633,Sudan,Host a visit,Abdel Fattah Al-Sisi,2014-07-08
1634,China,Host a visit,Japan,2014-07-23
1635,Japan,Make a visit,China,2014-07-23
1636,Moro Islamic Liberation Front,Make statement,Military (Philippines),2014-07-29
1637,Military (Philippines),Violate ceasefire,Moro Islamic Liberation Front,2014-07-29
1638,Le Hong Anh,Make a visit,China,2014-08-26
1639,China,Host a visit,Le Hong Anh,2014-08-26
1640,Le Hong Anh,Express intent to meet or negotiate,China,2014-08-26
1641,Japan,Consult,China,2014-09-01
1642,China,Praise or endorse,Japan,2014-09-01
1643,South Korea,Express intent to meet or negotiate,Japan,2014-09-04
1644,Japan,Engage in diplomatic cooperation,South Korea,2014-09-04
1645,South Korea,Sign formal agreement,China,2014-09-06
1646,China,Express intent to meet or negotiate,South Korea,2014-09-06
1647,Mexico,Consult,Guatemala,2014-09-09
1648,Guatemala,Express intent to cooperate,Mexico,2014-09-09
1649,China,Host a visit,Xi Jinping,2014-09-18
1650,Xi Jinping,Make statement,China,2014-09-18
1651,Japan,Express intent to cooperate,South Korea,2014-09-19
1652,South Korea,Engage in negotiation,Japan,2014-09-19
1653,Barack Obama,Consult,Royal Administration (Spain),2014-09-23
1654,Royal Administration (Spain),Express intent to meet or negotiate,Barack Obama,2014-09-23
1655,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-09-26
1656,Government (Nigeria),Provide humanitarian aid,Citizen (Nigeria),2014-09-26
1657,Frank Bainimarama,Meet at a 'third' location,Kamalesh Sharma,2014-09-29
1658,Kamalesh Sharma,Praise or endorse,Frank Bainimarama,2014-09-29
1659,China,Host a visit,Ashraf Ghani Ahmadzai,2014-10-23
1660,Ashraf Ghani Ahmadzai,Express intent to meet or negotiate,China,2014-10-23
1661,China,Host a visit,Ashraf Ghani Ahmadzai,2014-10-27
1662,Ashraf Ghani Ahmadzai,Express intent to meet or negotiate,China,2014-10-27
1663,Police (Australia),Criticize or denounce,Citizen (Australia),2014-10-28
1664,Citizen (Australia),Use unconventional violence,Police (Australia),2014-10-28
1665,China,Host a visit,Ashraf Ghani Ahmadzai,2014-10-30
1666,Ashraf Ghani Ahmadzai,Consult,China,2014-10-30
1667,Japan,Engage in negotiation,China,2014-11-07
1668,China,Make statement,Japan,2014-11-07
1669,China,Host a visit,Head of Government (Chile),2014-11-12
1670,Head of Government (Chile),Make a visit,China,2014-11-12
1671,China,Consult,Association of Southeast Asian Nations,2014-11-13
1672,Association of Southeast Asian Nations,Sign formal agreement,China,2014-11-13
1673,Qatar,Host a visit,Head of Government (Gambia),2014-11-18
1674,Head of Government (Gambia),Make a visit,Qatar,2014-11-18
1675,Qatar,Host a visit,Head of Government (Gambia),2014-11-19
1676,Head of Government (Gambia),Make a visit,Qatar,2014-11-19
1677,Barack Obama,Praise or endorse,Head of Government (Pakistan),2014-11-22
1678,Head of Government (Pakistan),Engage in negotiation,Barack Obama,2014-11-22
1679,France,Express intent to cooperate,China,2014-11-24
1680,China,Express intent to meet or negotiate,France,2014-11-24
1681,United Arab Emirates,Host a visit,Uhuru Muigai Kenyatta,2014-11-27
1682,Uhuru Muigai Kenyatta,Make a visit,United Arab Emirates,2014-11-27
1683,Thailand,Express intent to cooperate,Malaysia,2014-12-01
1684,Malaysia,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2014-12-01
1685,Benjamin Netanyahu,Make statement,Yair Lapid,2014-12-03
1686,Yair Lapid,Criticize or denounce,Benjamin Netanyahu,2014-12-03
1687,João Manuel Gonçalves Lourenço,Make a visit,United Arab Emirates,2014-12-17
1688,United Arab Emirates,Host a visit,João Manuel Gonçalves Lourenço,2014-12-17
1689,China,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2014-12-25
1690,Thailand,Sign formal agreement,China,2014-12-25
1691,Japan,Express intent to cooperate,South Korea,2014-12-29
1692,South Korea,Express intent to meet or negotiate,Japan,2014-12-29
1693,Kuwait,Host a visit,Abdel Fattah Al-Sisi,2015-01-07
1694,Abdel Fattah Al-Sisi,Make a visit,Kuwait,2015-01-07
1695,China,Host a visit,Abdel Fattah Al-Sisi,2015-01-12
1696,Abdel Fattah Al-Sisi,Make a visit,China,2015-01-12
1697,Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2015-01-15
1698,Citizen (Nigeria),Bring lawsuit against,Government (Nigeria),2015-01-15
1699,Sergey Kuzhugetovich Shoygu,Praise or endorse,Iran,2015-01-22
1700,Iran,Host a visit,Sergey Kuzhugetovich Shoygu,2015-01-22
1701,Police (Egypt),Use tactics of violent repression,Protester (Egypt),2015-01-25
1702,Protester (Egypt),Make statement,Police (Egypt),2015-01-25
1703,Angela Merkel,Express intent to meet or negotiate,Barack Obama,2015-02-02
1704,Barack Obama,Consult,Angela Merkel,2015-02-02
1705,Mahmoud Abbas,Express intent to meet or negotiate,Head of Government (Sweden),2015-02-10
1706,Barack Obama,Praise or endorse,Angela Merkel,2015-02-10
1707,Head of Government (Sweden),Engage in negotiation,Mahmoud Abbas,2015-02-10
1708,Angela Merkel,Make a visit,Barack Obama,2015-02-10
1709,Citizen (Nigeria),Deny responsibility,Government (Nigeria),2015-02-11
1710,Government (Nigeria),"Arrest, detain, or charge with legal action",Citizen (Nigeria),2015-02-11
1711,Iraq,Engage in diplomatic cooperation,Iran,2015-02-16
1712,Iraq,Host a visit,Eshaq Jahangiri,2015-02-16
1713,Eshaq Jahangiri,Make statement,Iraq,2015-02-16
1714,Iran,Praise or endorse,Iraq,2015-02-16
1715,Foreign Affairs (Israel),Consult,Algirdas Butkevičius,2015-02-17
1716,Algirdas Butkevičius,Host a visit,Foreign Affairs (Israel),2015-02-17
1717,Citizen (Nigeria),Make an appeal or request,Muslim (Nigeria),2015-02-19
1718,Muslim (Nigeria),Use conventional military force,Citizen (Nigeria),2015-02-19
1719,Citizen (Nigeria),Accuse,Government (Nigeria),2015-02-26
1720,Government (Nigeria),Express intent to cooperate,Citizen (Nigeria),2015-02-26
