head	relation	tail	time
France	Express intent to cooperate on intelligence	Romania	2008-04-24
Energy Department/Ministry (United States)	Consult	Elmar Mammadyarov	2009-10-06
Association of Southeast Asian Nations	Express intent to cooperate	Japan	2007-11-21
Vietnam	Engage in diplomatic cooperation	Japan	2005-03-07
Yemen	Engage in diplomatic cooperation	France	2008-02-18
Barack Obama	Engage in negotiation	Iran	2013-10-12
China	Engage in diplomatic cooperation	Yemen	2010-05-07
Andrew Robathan	Engage in negotiation	Secretary of State for the Home Department	2008-06-14
Association of Southeast Asian Nations	Sign formal agreement	China	2015-11-23
Thailand	Sign formal agreement	China	2005-07-05
Mahmoud Abbas	Consult	John Baird	2013-04-06
Iraq	Consult	National Alliance (Iraq)	2011-12-18
Lesotho	Consult	Swaziland	2005-03-10
Kazakhstan	Sign formal agreement	China	2006-06-23
Benjamin Netanyahu	Consult	Barack Obama	2010-03-22
Foreign Affairs (France)	Consult	Nabil Shaath	2010-12-17
France	Consult	China	2006-05-31
Japan	Consult	South Korea	2015-03-20
Japan	Consult	South Korea	2009-10-22
Dmitry Anatolyevich Medvedev	Consult	Angela Merkel	2008-08-13
Barack Obama	Consult	Wen Jiabao	2010-09-21
China	Meet at a 'third' location	Iran	2009-10-01
Government Official (Austria)	Consult	France	2015-10-28
Kazakhstan	Express intent to cooperate	China	2011-05-02
Iran	Engage in negotiation	France	2013-11-08
Straits Exchange Foundation	Sign formal agreement	China	2013-04-29
Wen Jiabao	Meet at a 'third' location	China	2006-05-22
Barack Obama	Engage in negotiation	Head of Government (Ukraine)	2015-02-14
China	Consult	Iraq	2007-11-02
Associated Press	Consult	China	2005-05-05
Pavol Hrusovský	Express intent to cooperate	Mikulas Dzurinda	2008-04-12
Tanzania	Sign formal agreement	Burundi	2012-01-09
Medical Personnel (Russia)	Consult	Military (Russia)	2013-01-16
Yair Lapid	Express intent to cooperate	Benjamin Netanyahu	2014-09-21
Barack Obama	Consult	Tony Blair	2007-12-21
Xi Jinping	Engage in negotiation	Hernán Andrade	2009-02-17
Mexico	Sign formal agreement	Foreign Affairs (Venezuela)	2006-03-12
Barack Obama	Consult	Lee Myung Bak	2009-02-23
China	Consult	South Korea	2011-08-12
Ismaïl Omar Guelleh	Consult	Chuck Hagel	2014-05-09
Lesotho	Consult	Malawi	2006-03-30
Associated Press	Discuss by telephone	Fidel Cano Correa	2012-08-27
Envoy (United States)	Consult	South Korea	2006-01-13
Foreign Affairs (Slovakia)	Consult	Mikulas Dzurinda	2012-03-02
John Paul II	Consult	Benedict XVI	2014-11-06
Japan	Engage in diplomatic cooperation	China	2013-05-18
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Tony Blair	2015-03-16
Tigrayan People's Liberation Front	Consult	Nation Media Group	2010-01-20
Abdoulaye Wade	Engage in negotiation	Oluṣẹgun Ọbasanjọ	2005-11-27
Wen Jiabao	Consult	Businessperson (Czech Republic)	2005-12-08
Javier Solana	Engage in negotiation	Farouk al-Sharaa	2009-02-24
Mikhail Yefimovich Fradkov	Engage in negotiation	Head of Government (Turkmenistan)	2007-02-15
Laos	Consult	Vietnam	2006-12-08
Agence France-Presse	Consult	Cristina Fernández de Kirchner	2014-07-24
Cabinet / Council of Ministers / Advisors (United States)	Consult	Islam Karimov	2015-11-01
Kuwait	Engage in diplomatic cooperation	Iran	2014-11-10
China	Consult	Luka Bebic	2009-08-19
Abdullah Gül	Consult	Mahmoud Abbas	2006-08-20
Japan	Sign formal agreement	Yemen	2010-04-25
Pervez Musharraf	Consult	Tariq Aziz	2008-02-14
Japan	Engage in negotiation	Mexico	2005-06-03
Sudan	Consult	Burundi	2011-12-01
China	Express intent to cooperate	South Korea	2006-05-06
Iran	Sign formal agreement	China	2006-01-23
Military Personnel (Libya)	Sign formal agreement	Tony Blair	2009-08-21
China	Consult	South Korea	2009-07-29
China	Consult	South Korea	2007-05-15
Dmitry Anatolyevich Medvedev	Engage in negotiation	Lee Myung Bak	2010-11-10
Gurbanguly Berdymukhammedov	Consult	Head of Government (Turkmenistan)	2010-04-22
José Miguel Insulza	Consult	Juan Gabriel Valdés	2006-01-18
France	Consult	Japan	2015-06-04
Guatemala	Consult	Mexico	2009-11-25
South Africa	Sign formal agreement	Election Commission (India)	2011-10-11
Vietnam	Consult	Thailand	2010-09-18
Yerlan Idrisov	Consult	Thailand	2014-05-05
Catherine Ashton	Consult	Member of Legislative (Govt) (Iran)	2014-03-10
Mexico	Consult	South Africa	2007-08-30
Head of Government (India)	Express intent to cooperate	Vietnam	2007-07-10
Japan	Sign formal agreement	South Korea	2006-06-21
Lee Myung Bak	Consult	Barack Obama	2011-10-14
China	Consult	Japan	2010-05-31
South Korea	Consult	China	2009-02-23
Police (Israel)	Consult	Shimon Peres	2013-08-30
China	Engage in diplomatic cooperation	Association of Southeast Asian Nations	2007-01-26
Roh Moo Hyun	Engage in negotiation	Wen Jiabao	2005-12-12
Malaysia	Engage in diplomatic cooperation	Vietnam	2015-08-28
Businessperson (Turkey)	Consult	Gerhard Schröder	2005-08-27
South Korea	Consult	Cabinet / Council of Ministers / Advisors (United States)	2013-04-13
Staffan de Mistura	Consult	Foreign Affairs (Syria)	2014-11-13
Japan	Express intent to cooperate	China	2007-05-04
Sudan	Express intent to cooperate	South Sudan	2012-11-28
South Sudan	Express intent to cooperate	Sudan	2014-03-20
Iran	Engage in negotiation	Javier Solana	2006-07-05
Javier Solana	Consult	Abdullah Gül	2005-03-25
Presidential Candidate (Bolivia)	Consult	Eduardo Rodríguez	2005-11-01
Central Intelligence Agency	Engage in negotiation	Ahmad Shuja Pasha	2011-06-10
Mahmoud Abbas	Consult	Iran	2012-07-12
Kuwait	Express intent to cooperate	Mauritania	2014-05-22
China	Consult	South Africa	2008-07-02
Barack Obama	Express intent to cooperate	Angela Merkel	2015-09-22
Frantisek Kasický	Meet at a 'third' location	Freedom Union	2006-07-20
Foreign Affairs (Mauritania)	Consult	Nabih Berri	2015-01-12
Al Sharq al Awsat	Consult	Malik Kurdi	2012-02-06
Tony Blair	Engage in negotiation	Angela Merkel	2007-06-22
Angela Merkel	Consult	Xi Jinping	2014-03-09
Cabinet / Council of Ministers / Advisors (United States)	Consult	UN Security Council	2006-08-14
Congress (United States)	Engage in negotiation	Yuriy Yekhanurov	2005-11-02
Yemen	Engage in diplomatic cooperation	National Democratic Institute for International Affairs	2011-01-26
China	Engage in diplomatic cooperation	Romania	2012-04-19
Media Personnel (International)	Consult	Presidential Family (Japan)	2011-01-13
Angela Merkel	Consult	Dmitry Anatolyevich Medvedev	2008-08-16
Government (Croatia)	Consult	Labor Union (Croatia)	2012-02-03
Royal Administration (Saudi Arabia)	Consult	Citizen (Saudi Arabia)	2011-10-07
Roberto Micheletti	Consult	Government Official (Honduras)	2010-01-05
Benjamin Netanyahu	Consult	Barack Obama	2012-03-07
Media Personnel (Pakistan)	Discuss by telephone	Agence France-Presse	2012-03-05
African Union	Consult	Joschka Fischer	2005-07-17
Representatives (Lithuania)	Consult	Valdas Adamkus	2011-09-30
Government (Nicaragua)	Sign formal agreement	Constitutionalist Liberal Party	2005-01-13
Cambodia	Consult	Thailand	2008-07-23
Fayez Tarawneh	Consult	Mahmoud Ahmadinejad	2012-07-11
China	Meet at a 'third' location	Japan	2012-05-26
Nasser Judeh	Engage in negotiation	Tony Blair	2012-04-24
Angela Merkel	Consult	Barack Obama	2014-07-16
Businessperson (China)	Consult	Wen Jiabao	2005-05-18
Sudan	Sign formal agreement	South Sudan	2012-02-13
Jakaya Mrisho Kikwete	Consult	Envoy (United States)	2009-04-21
Governor (South Korea)	Consult	Head of Government (South Korea)	2007-05-20
Angela Merkel	Consult	France	2006-12-06
Inter-Services Intelligence	Consult	National Intelligence Bureau (Pakistan)	2011-07-14
Citizen (Nigeria)	Discuss by telephone	Media (Africa)	2014-06-09
Philip Hammond	Consult	Federica Mogherini	2015-06-22
Nuri al-Maliki	Consult	Legislature (Iraq)	2010-02-08
Ethiopia	Engage in diplomatic cooperation	Sudan	2015-10-01
Malaysia	Consult	Yemen	2010-03-19
Vietnam	Consult	Laos	2012-02-23
Yemen	Consult	China	2009-12-22
Police (Philippines)	Discuss by telephone	Inquirer	2009-04-23
Laos	Engage in negotiation	Thailand	2006-06-20
Yasuo Fukuda	Consult	Umaru Musa Yar'Adua	2008-07-07
Iran	Consult	Majid Takht Ravanchi	2015-04-20
International Government Organizations	Consult	Presidential Candidate (Georgia)	2008-01-03
South Korea	Consult	Defense / Security Ministry (United States)	2006-06-05
Evo Morales	Consult	Oscar Ortiz	2008-10-09
Islamic Preacher (Iran)	Consult	Iran	2015-10-07
Congress (United States)	Consult	Xi Jinping	2012-02-16
Dmitry Anatolyevich Medvedev	Engage in negotiation	Head of Government (Brazil)	2008-11-25
Gazprom	Consult	Ministry (Iran)	2008-10-21
Sir David Richards	Consult	Pervez Musharraf	2006-10-09
Associated Press	Discuss by telephone	Fazlul Huq	2005-02-02
Milo Djukanovic	Consult	United Nations Interim Administration in Kosovo	2005-10-06
Iran	Sign formal agreement	China	2010-08-14
Bertie Ahern	Consult	Trevor Sargent	2007-06-13
Iran	Engage in diplomatic cooperation	Oman	2014-03-04
Iraq	Engage in diplomatic cooperation	Iran	2011-03-26
Malawi	Consult	Madagascar	2008-05-21
Japan	Consult	South Korea	2013-01-07
France	Engage in negotiation	South Korea	2007-03-17
Laos	Engage in diplomatic cooperation	Vietnam	2006-02-13
Ali Abdullah Saleh	Engage in negotiation	Angela Merkel	2008-03-05
China	Engage in diplomatic cooperation	South Africa	2011-05-28
Media (India)	Consult	Raghuram Rajan	2014-05-28
Zalmai Rassoul	Consult	Radoslaw Sikorski	2011-08-02
Laos	Express intent to cooperate	Vietnam	2009-08-10
Xi Jinping	Consult	Jakaya Mrisho Kikwete	2013-03-25
Iran	Sign formal agreement	Gazprom	2008-04-24
South Korea	Engage in negotiation	China	2014-07-31
Lee Myung Bak	Engage in negotiation	Head of Government (Brazil)	2008-07-08
Royal Administration (Egypt)	Consult	Saud bin Faisal bin Abdul-Aziz	2007-07-30
Iraq	Sign formal agreement	Iran	2012-11-03
Adil Abdul-Mahdi	Consult	Nuri al-Maliki	2008-03-24
China	Consult	Japan	2008-02-13
South Korea	Engage in negotiation	China	2008-04-10
Cristina Fernández de Kirchner	Sign formal agreement	Head of Government (India)	2009-10-14
Djibouti	Engage in diplomatic cooperation	France	2008-02-18
Nahas Angula	Consult	Media (Africa)	2007-11-07
Japan	Express intent to cooperate	China	2007-12-03
Evo Morales	Consult	Bolivia	2007-11-10
France	Consult	China	2012-04-15
Ma Ying Jeou	Consult	Vincent C. Siew	2008-04-14
Iran	Engage in diplomatic cooperation	Qatar	2014-12-10
Head of Government (Ukraine)	Consult	Joschka Fischer	2005-03-21
UN Security Council	Meet at a 'third' location	African Union	2013-10-11
Iraq	Consult	Kuwait	2009-06-03
Head of Government (Qatar)	Consult	Mahmoud Abbas	2014-05-06
South Sudan	Consult	Sudan	2012-11-13
African Union	Engage in diplomatic cooperation	Government (Sudan)	2008-08-04
Jens Stoltenberg	Express intent to cooperate	Geir H. Haarde	2006-11-29
China	Consult	South Korea	2010-05-29
Barack Obama	Consult	Dominican Republic	2010-07-12
Iran	Engage in diplomatic cooperation	Iraq	2008-03-03
UN Security Council	Consult	High Ranking Military Personnel (Sudan)	2007-06-18
Georgios Papandreou	Consult	Other Authorities / Officials (Greece)	2008-09-08
Romania	Consult	Abdullah ibn Husayn al-Ahmar	2007-10-01
South Korea	Consult	France	2010-11-25
Japan	Sign formal agreement	China	2008-01-30
Iraq	Engage in diplomatic cooperation	Iran	2014-06-16
Iran	Consult	Iraq	2011-11-19
Prachanda	Consult	Foreign Affairs (India)	2006-11-02
Foreign Affairs (Singapore)	Consult	Nguyen Xuan Phuc	2015-03-07
Mexico	Sign formal agreement	South Korea	2005-03-05
Gerhard Schröder	Meet at a 'third' location	Aleksander Kwasniewski	2005-05-19
Simon Gass	Consult	Iran	2014-04-29
Sudan	Meet at a 'third' location	Qatar	2009-07-09
China	Consult	Huang Ju	2007-03-07
Béla Bugár	Consult	Christian Democratic Movement	2006-06-23
France	Engage in diplomatic cooperation	Kazakhstan	2008-09-23
China	Engage in diplomatic cooperation	Iran	2014-06-24
South Africa	Sign formal agreement	Vietnam	2012-12-06
Algirdas Butkevičius	Consult	Saulius Skvernelis	2015-11-30
Benedict XVI	Consult	Mahmoud Abbas	2005-12-03
Vietnam	Express intent to cooperate	Thailand	2014-11-15
U.S. Air Forces in Europe	Consult	Bachana Akhalaia	2009-12-07
Chuck Hagel	Consult	Sergey Kuzhugetovich Shoygu	2013-08-13
France	Engage in diplomatic cooperation	Kuwait	2015-10-25
South Korea	Engage in negotiation	Envoy (United States)	2012-06-13
Janez Jansa	Consult	Milo Djukanovic	2006-01-09
South Korea	Consult	Japan	2006-11-03
Chuck Hagel	Consult	Iraq	2014-12-09
Laos	Express intent to cooperate	Cambodia	2011-03-27
Al Jazeera	Consult	Police (Kenya)	2014-12-08
China	Consult	South Africa	2015-07-07
Military Personnel (Thailand)	Consult	Internal Security Operations Command	2010-03-10
Mahmoud Abbas	Consult	Tony Blair	2006-09-11
New Democracy	Consult	Head of Government (Greece)	2006-03-11
South Korea	Consult	China	2006-01-20
Business (Taiwan)	Consult	France	2005-06-14
Anas el-Fiqqi	Consult	Omar Suleiman	2007-06-25
Mahmoud Abbas	Consult	Barack Obama	2010-11-10
Jusuf Kalla	Consult	City Mayor (Indonesia)	2007-10-17
Ivan Gasparovic	Engage in negotiation	Mikulas Dzurinda	2005-12-08
Barack Obama	Consult	Benjamin Netanyahu	2013-02-06
Vietnam	Engage in negotiation	China	2011-10-11
Abdullah Gül	Discuss by telephone	Head of Government (Pakistan)	2010-11-30
Georgios Papandreou	Discuss by telephone	Associated Press	2009-12-17
Dmitry Anatolyevich Medvedev	Engage in negotiation	Georgios Papandreou	2010-02-16
Iran	Consult	Kazakhstan	2012-12-18
Eritrea	Engage in diplomatic cooperation	Sudan	2009-03-12
African Union	Consult	Sudan	2015-07-30
Edgars Rinkevics	Consult	Foreign Affairs (Belarus)	2015-09-28
Mahmoud Abbas	Consult	Cabinet / Council of Ministers / Advisors (United States)	2013-03-04
Minister Patnaik	Consult	Governor (India)	2014-05-20
Foreign Affairs (India)	Consult	Algirdas Butkevičius	2015-01-11
Cambodia	Meet at a 'third' location	China	2006-08-16
Xi Jinping	Consult	Ricardo Alarcón de Quesada	2010-11-25
Ethiopia	Express intent to cooperate	Eritrea	2005-09-13
Muhammadu Buhari	Express intent to cooperate	Citizen (Nigeria)	2009-10-08
Freedom and Justice Party	Consult	Political Parties (Egypt)	2012-09-27
Labor Union (New Zealand)	Engage in negotiation	Police (New Zealand)	2006-03-02
Barack Obama	Consult	Julia Gillard	2010-11-15
Iran	Sign formal agreement	France	2015-07-15
Associated Press	Consult	Economist (Poland)	2015-06-26
Military (Philippines)	Consult	Military Personnel (Philippines)	2010-05-04
Cambodia	Express intent to cooperate	Vietnam	2009-05-29
Head of Government (Brazil)	Consult	Ministry (Brazil)	2005-02-17
Muratbek Imanaliyev	Consult	Roza Otunbayeva	2010-04-20
China	Consult	South Korea	2015-01-11
Cambodia	Express intent to cooperate	Thailand	2009-11-16
Barack Obama	Express intent to cooperate	Angela Merkel	2012-04-12
Grigol Vashadze	Consult	Envoy (United States)	2009-09-28
Barack Obama	Engage in negotiation	Mahmoud Abbas	2014-03-24
Boko Haram	Sign formal agreement	Other Authorities / Officials (Nigeria)	2014-10-19
Georgios Papandreou	Consult	Angela Merkel	2011-10-04
Barack Obama	Discuss by telephone	Mexico	2014-06-20
Foreign Affairs (India)	Consult	Mahmoud Abbas	2012-09-17
Iraq	Express intent to cooperate	Iran	2008-02-25
Media (Azerbaijan)	Consult	Elmar Mammadyarov	2007-06-08
Media Personnel (Japan)	Consult	Vietnam	2009-07-07
South Korea	Express intent to cooperate	China	2007-02-22
Cambodia	Express intent to cooperate	Vietnam	2008-11-27
Islamic Preacher (Iran)	Consult	Iran	2008-04-23
Jacob J. Lew	Consult	Head of Government (Greece)	2015-07-07
Iran	Express intent to cooperate	China	2014-11-27
Barbara Lee	Consult	Raúl Castro	2009-04-08
South Sudan	Consult	Sudan	2008-03-26
South Korea	Engage in negotiation	China	2015-09-07
France	Engage in diplomatic cooperation	Yemen	2007-03-09
Eritrea	Engage in diplomatic cooperation	Yemen	2005-01-01
Javier Solana	Discuss by telephone	Pervez Musharraf	2007-01-27
Lawyer/Attorney (Indonesia)	Consult	Police (Australia)	2005-03-21
Vietnam	Consult	Cambodia	2010-04-07
African Union	Meet at a 'third' location	UN Security Council	2006-05-15
China	Consult	France	2015-09-28
Mario Monti	Consult	Angela Merkel	2013-11-27
Iraq	Sign formal agreement	Japan	2005-11-24
France	Consult	Iran	2006-01-31
Abdullah Gül	Consult	Undersecretary (United States)	2005-01-31
Company - Owner or Operator (Egypt)	Consult	Head of Government (Egypt)	2015-12-03
Elizabeth II	Consult	Head of Government (Brazil)	2006-03-13
China	Express intent to cooperate	Japan	2010-10-30
Military Personnel (India)	Consult	Media (India)	2015-12-04
Japan	Consult	South Africa	2008-07-09
Umaru Musa Yar'Adua	Consult	Ministry (Nigeria)	2009-02-10
Barack Obama	Engage in negotiation	Dmitry Anatolyevich Medvedev	2010-06-25
Civil Service (Kenya)	Consult	Francis Muthaura	2013-02-05
Pervez Musharraf	Consult	Royal Administration (Spain)	2007-04-24
Lubomír Galko	Engage in negotiation	Ivan Gasparovic	2011-11-15
Iran	Consult	Iraq	2007-08-06
Mario Das Neves	Sign formal agreement	Jorge Landau	2015-06-11
Congress for Democratic Change	Consult	Media Personnel (Liberia)	2006-02-13
Sudan	Engage in diplomatic cooperation	Mauritania	2013-01-31
Japan	Engage in negotiation	South Korea	2005-09-15
Barack Obama	Consult	Benjamin Netanyahu	2015-11-07
Japan	Consult	South Korea	2010-05-15
Ma Ying Jeou	Consult	Head of Government (Taiwan)	2010-03-19
Benjamin Netanyahu	Consult	William Ruto	2015-10-14
Japan	Sign formal agreement	South Korea	2007-03-15
Member of Parliament (India)	Consult	Shivraj Patil	2006-11-10
Vietnam	Sign formal agreement	Thailand	2006-04-14
Iran	Engage in negotiation	China	2015-03-22
South Korea	Consult	UN Security Council	2015-08-27
Vietnam	Engage in diplomatic cooperation	China	2009-10-21
Roh Moo Hyun	Express intent to cooperate	Oluṣẹgun Ọbasanjọ	2006-11-07
Associated Press	Discuss by telephone	Guillermo Garin	2006-10-26
Mexico	Express intent to cooperate	Colombia	2011-12-13
Angela Merkel	Consult	Alexis Tsipras	2015-12-18
Party Member (Brazil)	Engage in negotiation	VARIG	2005-03-11
Antonis Samaras	Engage in negotiation	Georgios Papandreou	2011-06-15
Angola	Consult	Swaziland	2008-07-18
Dmitry Anatolyevich Medvedev	Consult	Angela Merkel	2011-09-23
Abdul Aziz Abdul Ghani	Consult	Member of Legislative (Govt) (Qatar)	2007-05-09
Gerhard Schröder	Engage in negotiation	Angela Merkel	2005-05-22
Mahmoud Abbas	Consult	Abdel Fattah Al-Sisi	2015-11-07
Member of Legislative (Govt) (Lebanon)	Consult	Media Personnel (Lebanon)	2009-06-17
Wen Jiabao	Consult	Head of Government (South Korea)	2006-10-13
Vietnam	Sign formal agreement	Oman	2013-01-23
Member of Parliament (France)	Meet at a 'third' location	Military Personnel (France)	2011-05-04
China	Consult	France	2013-09-23
Japan	Consult	South Korea	2009-10-12
Mahmoud Abbas	Consult	Envoy (United States)	2010-05-07
Yemen	Sign formal agreement	Eritrea	2006-11-10
Head of Government (Egypt)	Consult	Mahmoud Abbas	2014-10-13
Sergey Kuzhugetovich Shoygu	Consult	Agustín Rossi	2015-04-22
West African Development Bank	Consult	Central Bank of West African States	2006-11-08
Foreign Affairs (Syria)	Consult	Pervez Musharraf	2007-05-17
China	Engage in diplomatic cooperation	Vietnam	2005-04-25
Labor Union (Croatia)	Engage in negotiation	Government (Croatia)	2012-06-06
Japan	Engage in diplomatic cooperation	China	2007-04-05
Campbell Newman	Consult	City Mayor (Australia)	2007-08-11
Dmitry Anatolyevich Medvedev	Consult	Lee Myung Bak	2008-09-28
South Korea	Engage in negotiation	China	2011-12-22
Member of Legislative (Govt) (Lebanon)	Consult	Mahmoud Ahmadinejad	2006-11-14
Abdul Aziz	Engage in negotiation	Ali Abdullah Saleh	2007-05-06
Yemen	Consult	Mauritania	2005-03-03
Muhammadu Buhari	Consult	Barack Obama	2015-07-24
Japan	Express intent to cooperate	China	2006-03-28
Associated Press	Discuss by telephone	Police (Philippines)	2007-07-08
Nuri al-Maliki	Consult	Benedict XVI	2008-07-25
Barack Obama	Meet at a 'third' location	Dmitry Anatolyevich Medvedev	2009-03-31
Al Jazeera	Consult	Military Personnel (Philippines)	2013-10-29
Javier Solana	Consult	Hashim Thaçi	2008-01-28
Cabinet / Council of Ministers / Advisors (United States)	Consult	Benjamin Netanyahu	2010-09-17
Iran	Engage in negotiation	Foreign Affairs (South Africa)	2014-06-16
Government Official (Zimbabwe)	Consult	Head of Government (Lesotho)	2012-08-22
China	Consult	Japan	2012-07-10
Xi Jinping	Consult	Nicos Anastasiades	2015-10-15
Royal Administration (Jordan)	Consult	Mahmoud Abbas	2007-06-29
Japan	Consult	China	2012-10-25
France	Engage in negotiation	China	2013-09-18
Kazakhstan	Sign formal agreement	France	2008-06-26
China	Sign formal agreement	South Korea	2014-09-06
Tanzania	Engage in diplomatic cooperation	Japan	2014-12-16
Mahmoud Abbas	Consult	Benjamin Netanyahu	2014-01-16
Army Personnel (Sri Lanka)	Discuss by telephone	Agence France-Presse	2010-04-22
South Korea	Consult	China	2015-03-31
Islam Karimov	Sign formal agreement	Pervez Musharraf	2005-03-06
South Korea	Consult	China	2009-10-10
Yasuo Fukuda	Consult	Lee Myung Bak	2008-04-20
Malawi	Engage in diplomatic cooperation	Angola	2010-05-19
Japan	Engage in negotiation	China	2008-08-18
Qatar	Engage in diplomatic cooperation	Iraq	2015-02-09
France	Express intent to cooperate	Japan	2008-02-08
Angela Merkel	Sign formal agreement	Dmitry Anatolyevich Medvedev	2010-06-25
Timan Erdimi	Discuss by telephone	Agence France-Presse	2007-12-04
Vietnam	Engage in diplomatic cooperation	Laos	2007-12-22
Head of Government (Ukraine)	Discuss by telephone	Head of Government (Germany)	2015-02-20
Islam Karimov	Sign formal agreement	Gurbanguly Berdymukhammedov	2008-03-13
Fritz Pierre Ngo	Consult	Media (Africa)	2005-03-25
Richard Boucher	Consult	Opposition Supporter (Pakistan)	2007-06-13
Jan Fischer	Consult	Herman Van Rompuy	2010-01-30
Tzipi Livni	Consult	Javier Solana	2007-05-21
Professor (Singapore)	Consult	Koo Chen-fu	2005-12-24
Kazakhstan	Engage in diplomatic cooperation	China	2010-11-10
Jack Lang	Consult	Raúl Castro	2009-02-26
Bertie Ahern	Consult	Tony Blair	2006-10-12
Cambodia	Engage in negotiation	Thailand	2011-09-01
Agence France-Presse	Discuss by telephone	Citizen (Mali)	2012-01-17
China	Engage in diplomatic cooperation	Oman	2007-09-06
Vietnam	Engage in diplomatic cooperation	France	2006-02-22
Henry M. Paulson	Consult	Xi Jinping	2006-09-19
China	Express intent to cooperate	South Korea	2010-07-23
China	Express intent to cooperate	Japan	2011-05-04
Donald Rumsfeld	Consult	Iraq	2005-04-12
Wen Jiabao	Consult	Angela Merkel	2012-02-13
South Korea	Sign formal agreement	Office of the United Nations High Commissioner for Human Rights	2015-05-27
Student (Iran)	Consult	Mahmoud Ahmadinejad	2008-06-28
Gerhard Schröder	Consult	Helmut Schmidt	2012-04-22
Assemblies (Zambia)	Consult	Michael Sata	2011-10-17
Dmitry Anatolyevich Medvedev	Consult	Rashid Gumarovich Nurgaliyev	2012-05-31
Cabinet / Council of Ministers / Advisors (United States)	Engage in negotiation	Cristina Fernández de Kirchner	2008-09-25
Mexico	Engage in negotiation	South Korea	2006-04-19
Laos	Express intent to cooperate	Thailand	2006-02-01
Mahmoud Abbas	Engage in negotiation	Shimon Peres	2006-05-21
Mahmoud Abbas	Consult	Royal Administration (Saudi Arabia)	2014-07-28
Nordic Council	Sign formal agreement	France	2005-04-16
Dmitry Anatolyevich Medvedev	Consult	Wen Jiabao	2010-11-25
China	Sign formal agreement	Japan	2011-12-08
Malaysia	Sign formal agreement	China	2005-09-02
South Korea	Engage in negotiation	Japan	2006-10-05
Government (Sudan)	Sign formal agreement	African Union	2012-08-29
Political Parties (Fianna Fáil)	Sign formal agreement	Green Party (Ireland)	2009-09-09
Japan	Sign formal agreement	China	2008-12-25
Chaudhry Nisar Ali Khan	Consult	Ishaq Dar	2014-08-08
Government Official (Ireland)	Consult	Associated Press	2006-11-09
Representatives (Libya)	Consult	National Transitional Council	2011-03-21
Barack Obama	Engage in negotiation	Yoshihiko Noda	2012-04-30
Wang Yi	Consult	Chuck Hagel	2014-10-02
Alexei Miller	Engage in negotiation	Guenther Oettinger	2014-08-30
Defense / Security Ministry (United States)	Consult	Seyran Ohanyan	2015-02-26
Sudan	Consult	Ethiopia	2014-08-29
Mikhail Yefimovich Fradkov	Consult	Rashid Gumarovich Nurgaliyev	2015-11-13
Finance / Economy / Commerce / Trade Ministry (Australia)	Express intent to cooperate	Citizen (Australia)	2010-06-29
Lee Myung Bak	Consult	Xi Jinping	2009-12-18
Barack Obama	Discuss by telephone	Angela Merkel	2011-02-28
Ministry (Sudan)	Consult	Representatives (Sudan)	2010-12-07
Werner Faymann	Consult	Media (Austria)	2015-09-08
Bishop (Bosnia and Herzegovina)	Consult	Government (Croatia)	2008-03-01
South Korea	Express intent to cooperate	China	2005-04-14
International Government Organizations	Consult	Ministry (United States)	2014-02-13
Benazir Bhutto	Engage in negotiation	Pervez Musharraf	2007-11-14
South Korea	Engage in negotiation	Japan	2014-11-11
France	Meet at a 'third' location	China	2013-06-19
Japan	Consult	China	2008-12-11
Gazprom	Consult	Magomedsalam Magomedov	2012-10-30
Representatives (Libya)	Consult	Bernardino Leon	2015-09-10
Angela Merkel	Consult	Arseniy Yatsenyuk	2015-04-01
Cambodia	Consult	China	2010-03-17
Iran	Consult	Javier Solana	2006-09-12
Lee Myung Bak	Express intent to cooperate	Julia Gillard	2011-04-25
Abdel Fattah Al-Sisi	Consult	Company - Owner or Operator (Egypt)	2014-05-11
Yerlan Idrisov	Consult	Vietnam	2014-05-05
South Africa	Consult	African Union	2006-02-06
Robert Wexler	Consult	Abdullah Gül	2010-01-20
Iran	Consult	China	2011-06-14
Iran	Consult	Javier Solana	2007-01-05
Head of Government (South Korea)	Express intent to cooperate	Wen Jiabao	2006-09-11
Elmar Mammadyarov	Engage in negotiation	Kazakhstan	2007-02-28
Medical Personnel (Nigeria)	Express intent to cooperate	Labor Union (Nigeria)	2014-05-20
Head of Government (Guatemala)	Express intent to cooperate	José Miguel Insulza	2014-09-19
Human Rights Watch	Consult	Detainee (Saudi Arabia)	2012-01-31
Sheikh Hamad bin Khalifa al-Thani	Consult	United Arab Emirates	2015-09-20
Foreign Affairs (Portugal)	Consult	Lulzim Basha	2007-06-18
Business (Iran)	Consult	Mahmoud Ahmadinejad	2006-05-28
China	Consult	Japan	2007-03-20
Association of Southeast Asian Nations	Meet at a 'third' location	China	2010-05-18
Shimon Peres	Consult	Benjamin Netanyahu	2012-02-15
Sudan	Engage in negotiation	Envoy (United States)	2009-07-20
Thailand	Sign formal agreement	Iran	2014-10-07
Detainee (Senegal)	Consult	Sidiki Kaba	2015-01-28
Romania	Engage in negotiation	International Monetary Fund	2009-03-19
Lawyer/Attorney (Australia)	Engage in negotiation	Police (Australia)	2006-12-14
Raymond Tshibanda	Engage in negotiation	Wang Yi	2015-01-21
China	Express intent to cooperate	Japan	2005-09-21
China	Engage in negotiation	Japan	2006-07-27
