head	relation_x	tail	time
Lulzim Basha	Make a visit	Portugal	2007-06-18
Vuk Jeremić	Make a visit	Vietnam	2008-03-31
South Korea	Make a visit	Japan	2012-10-15
Lien Chan	Make a visit	China	2013-02-26
María Ángela Holguín	Make a visit	Thailand	2013-07-12
Attack Craft (United States)	Make a visit	Japan	2007-02-17
Industry (India)	Make a visit	France	2008-01-19
Cao Duc Phat	Make a visit	Laos	2007-08-23
Head of Government (Ukraine)	Make a visit	Kazakhstan	2015-10-15
Kim Kye Gwan	Make a visit	China	2013-06-18
Frank Bainimarama	Make a visit	China	2013-05-31
African Union	Make a visit	Ethiopia	2006-03-10
Thailand	Make a visit	Malaysia	2010-12-23
Laos	Make a visit	China	2006-07-05
Straits Exchange Foundation	Make a visit	China	2012-12-18
Iran	Make a visit	Portugal	2007-02-27
Teodoro Obiang Nguema Mbasogo	Make a visit	China	2015-04-29
Foreign Affairs (South Korea)	Make a visit	Association of Southeast Asian Nations	2008-07-23
South Sudan	Make a visit	Ethiopia	2012-03-09
Thongsing Thammavong	Make a visit	Vietnam	2006-11-24
African Union	Make a visit	South Sudan	2010-11-15
Rafael Correa	Make a visit	Mexico	2008-04-11
Barack Obama	Make a visit	Middle East	2008-07-26
China	Make a visit	Mexico	2013-04-06
Barack Obama	Make a visit	Japan	2014-02-18
Tzipi Livni	Make a visit	South Korea	2007-01-14
Juvénal Habyarimana	Make a visit	Tanzania	2010-01-06
Iran	Make a visit	Djibouti	2012-11-16
José Miguel Insulza	Make a visit	Bolivia	2006-03-25
Royal Administration (Saudi Arabia)	Make a visit	Abdul Aziz	2014-07-26
Pervez Musharraf	Make a visit	Yemen	2005-12-05
Xi Jinping	Make a visit	South Korea	2009-12-18
Head of Government (India)	Make a visit	United Arab Emirates	2015-08-17
William Ruto	Make a visit	The Hague	2011-08-30
Abdullah Gül	Make a visit	Oman	2010-04-14
Nuri al-Maliki	Make a visit	Iraq	2007-05-05
Mehdi Karrubi	Make a visit	Iran	2010-06-13
Lee Myung Bak	Make a visit	China	2008-05-15
Abdel Fattah Al-Sisi	Make a visit	France	2015-05-15
Daily Monitor	Make a visit	South Sudan	2014-08-26
Thailand	Make a visit	Japan	2007-03-15
Pervez Musharraf	Make a visit	Iran	2007-07-07
Cambodia	Make a visit	Laos	2008-12-02
Pervez Musharraf	Make a visit	China	2006-06-20
Foreign Affairs (Malaysia)	Make a visit	Thailand	2008-07-03
Oluṣẹgun Ọbasanjọ	Make a visit	Guinea-Bissau	2015-09-09
Lawyer/Attorney (United States)	Make a visit	Tanzania	2005-07-12
Ministry (Oman)	Make a visit	Yemen	2009-04-10
Armed Separatist (China)	Make a visit	Vietnam	2007-04-25
Saud bin Faisal bin Abdul-Aziz	Make a visit	Japan	2006-04-04
Benjamin Netanyahu	Make a visit	Georgios Papandreou	2010-07-22
Barack Obama	Make a visit	Angela Merkel	2012-11-09
Iraq	Make a visit	South Korea	2007-04-13
Defense / Security Ministry (United States)	Make a visit	Iraq	2005-02-11
Vietnam	Make a visit	Cambodia	2012-06-21
Defense / Security Ministry (United States)	Make a visit	Vietnam	2006-06-05
France	Make a visit	China	2010-04-29
High Commission for Refugees	Make a visit	Romania	2011-10-25
William J. Fallon	Make a visit	Qatar	2007-04-05
Sali Berisha	Make a visit	Jakup Krasniqi	2009-10-07
Ethiopia	Make a visit	Transitional National Government	2006-09-02
Japan	Make a visit	South Korea	2006-11-05
Pervez Musharraf	Make a visit	China	2006-06-12
Liu Zhenmin	Make a visit	South Korea	2014-02-22
Angela Merkel	Make a visit	Ethiopia	2007-10-02
Indigenous People (Bangladesh)	Make a visit	Malaysia	2014-06-11
Wen Jiabao	Make a visit	Kazakhstan	2008-10-27
Shaukat Aziz	Make a visit	Thailand	2005-10-03
Mahmoud Abbas	Make a visit	Tony Blair	2007-02-21
Shimon Peres	Make a visit	Vietnam	2010-05-28
Angela Merkel	Make a visit	France	2005-12-16
Chung Dong-young	Make a visit	Japan	2009-11-12
Ivonne Ortega Pacheco	Make a visit	Mexico	2010-02-25
Mahmoud Ahmadinejad	Make a visit	Iraq	2013-07-20
Yoshihiko Noda	Make a visit	Japan	2011-09-12
Abdel Ilah Al-Khatib	Make a visit	Portugal	2007-07-16
Tony Blair	Make a visit	Head of Government (Brazil)	2006-03-10
Vietnam	Make a visit	Laos	2007-02-05
High Ranking Military Personnel (Syria)	Make a visit	France	2012-07-10
Kuwait	Make a visit	Yemen	2006-03-25
Detainee (United States)	Make a visit	Kuwait	2005-11-03
Islam Karimov	Make a visit	China	2011-04-19
United Arab Emirates	Make a visit	Madagascar	2008-02-19
Shimon Peres	Make a visit	France	2008-03-12
Ed Royce	Make a visit	South Korea	2013-01-04
National Security Advisor (Iraq)	Make a visit	Iran	2009-01-27
Philipp Rösler	Make a visit	Vietnam	2012-08-23
Abdullah Gül	Make a visit	Iran	2011-02-21
Julia Gillard	Make a visit	Japan	2011-04-29
Head of Government (South Korea)	Make a visit	Japan	2008-07-29
Benjamin Netanyahu	Make a visit	Shimon Peres	2012-05-13
Dmitry Anatolyevich Medvedev	Make a visit	China	2008-05-21
China	Make a visit	South Korea	2015-10-29
Lee Myung Bak	Make a visit	China	2008-08-10
Gerhard Schröder	Make a visit	France	2005-11-24
Business (Taiwan)	Make a visit	China	2008-12-26
Iran	Make a visit	Sudan	2013-01-20
Agence France-Presse	Make a visit	Iraq	2006-12-08
Foreign Affairs (Portugal)	Make a visit	Angola	2014-10-21
Azahari Husin	Make a visit	Foreign Affairs (Malaysia)	2005-11-14
Xi Jinping	Make a visit	South Korea	2014-06-29
Elizabeth II	Make a visit	Ireland	2012-06-01
Oluṣẹgun Ọbasanjọ	Make a visit	China	2005-05-29
Angela Merkel	Make a visit	South Africa	2007-10-02
Xi Jinping	Make a visit	Mexico	2009-02-23
Barack Obama	Make a visit	Iran	2013-03-21
Barack Obama	Make a visit	Yemen	2010-01-02
South Korea	Make a visit	China	2008-05-13
Head of Government (Ethiopia)	Make a visit	South Sudan	2013-12-26
Herman Van Rompuy	Make a visit	Dominican Republic	2014-08-28
Joachim Gauck	Make a visit	France	2013-09-03
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	Japan	2015-06-17
Laos	Make a visit	Vietnam	2008-09-26
Rafiq Hariri	Make a visit	France	2011-01-14
Iran	Make a visit	Yemen	2014-01-21
Wang Yi	Make a visit	Ethiopia	2014-01-13
Foreign Affairs (Nepal)	Make a visit	Maldives	2011-11-08
Teodoro Obiang Nguema Mbasogo	Make a visit	China	2006-11-04
Xi Jinping	Make a visit	South Korea	2014-07-29
Prachanda	Make a visit	China	2008-09-15
Abdel Fattah Al-Sisi	Make a visit	United Arab Emirates	2015-01-20
Islam Karimov	Make a visit	China	2005-07-27
François Bozizé	Make a visit	South Africa	2006-04-29
Head of Government (Gambia)	Make a visit	Mohamed Ould Abdel Aziz	2012-05-28
Simon Gass	Make a visit	Iran	2014-05-01
Uhuru Muigai Kenyatta	Make a visit	Tanzania	2015-11-05
Iran	Make a visit	Yemen	2005-06-10
Barbara Lee	Make a visit	Sudan	2006-05-16
Ryutaro Hashimoto	Make a visit	Japan	2011-12-21
Benjamin Netanyahu	Make a visit	France	2015-01-26
Tourist (Austria)	Make a visit	Iran	2014-10-08
Islam Karimov	Make a visit	Kazakhstan	2006-09-04
Cambodia	Make a visit	Thailand	2009-03-11
Aggrey Tisa Sabuni	Make a visit	Sudan	2014-09-08
Xi Jinping	Make a visit	Kazakhstan	2015-03-12
Chuck Hagel	Make a visit	China	2014-04-04
Military (Senegal)	Make a visit	Comoros	2008-03-11
Grand National Party	Make a visit	South Korea	2010-03-28
Antonis Samaras	Make a visit	Abdullah Gül	2013-03-05
Military Personnel (Philippines)	Make a visit	China	2012-03-20
African Union	Make a visit	Sudan	2007-07-19
Democratic Party	Make a visit	South Korea	2013-08-05
High Commission (United Kingdom)	Make a visit	Bukola Saraki	2015-06-12
Wen Jiabao	Make a visit	China	2007-07-16
Iraq	Make a visit	Iran	2008-06-10
Barack Obama	Make a visit	Iraq	2009-04-08
Nonaligned Movement	Make a visit	Malaysia	2006-09-16
Xi Jinping	Make a visit	Royal Administration (Argentina)	2014-03-24
Tzipi Livni	Make a visit	South Korea	2007-12-02
Muhammad Naji al-Otari	Make a visit	Sudan	2007-07-07
Shura Council	Make a visit	Oman	2014-12-08
Mikhail Yefimovich Fradkov	Make a visit	China	2005-11-07
Eshaq Jahangiri	Make a visit	Iran	2015-10-15
Wen Jiabao	Make a visit	Iraq	2010-12-21
Kim Kye Gwan	Make a visit	China	2007-01-26
Dmitry Nikolayevich Kozak	Make a visit	Islam Karimov	2014-11-27
South Korea	Make a visit	South Africa	2010-11-01
Envoy (United States)	Make a visit	Sudan	2005-06-03
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	South Korea	2013-04-11
Envoy (United States)	Make a visit	Middle East	2009-02-02
Sedki Sobhi	Make a visit	Sudan	2013-04-29
Eric Chu	Make a visit	Ma Ying Jeou	2015-10-14
Ma Ying Jeou	Make a visit	China	2015-05-05
Abdel Fattah Al-Sisi	Make a visit	Ethiopia	2015-04-06
Mehmet Simsek	Make a visit	Iran	2008-11-26
Shaukat Aziz	Make a visit	China	2007-06-08
Barack Obama	Make a visit	South Africa	2013-07-04
UN Security Council	Make a visit	Iran	2008-05-08
Thongsing Thammavong	Make a visit	Laos	2007-01-15
Barack Obama	Make a visit	Mexico	2009-01-08
Elizabeth II	Make a visit	Japan	2006-09-06
Foreign Affairs (France)	Make a visit	Middle East	2009-01-14
Abdullah Gül	Make a visit	Romania	2008-04-02
Kim Hwang Sik	Make a visit	Oman	2012-01-20
Foreign Affairs (Malaysia)	Make a visit	Thailand	2008-07-02
Vivianne Blanlot	Make a visit	Bolivia	2007-01-19
Roh Moo Hyun	Make a visit	Citizen (North Korea)	2007-10-04
Movement for Democratic Change	Make a visit	South Africa	2007-07-11
Bathabile Dlamini	Make a visit	South Africa	2015-02-25
Mahmoud Ahmadinejad	Make a visit	Iran	2009-05-20
Pervez Musharraf	Make a visit	China	2006-06-08
Jerry Brown	Make a visit	China	2013-04-06
Xi Jinping	Make a visit	Malaysia	2013-10-05
Justice and Development Party	Make a visit	France	2008-07-13
Head of Government (Taiwan)	Make a visit	United Arab Emirates	2006-05-04
Qatar	Make a visit	Sudan	2013-12-16
Ministry (Zimbabwe)	Make a visit	Angola	2006-04-07
Head of Government (South Korea)	Make a visit	Middle East	2013-08-26
Mahmoud Abbas	Make a visit	Yemen	2013-02-20
Mahmoud Jibril	Make a visit	France	2011-05-14
Terje Roed Larsen	Make a visit	France	2005-02-13
Álvaro García	Make a visit	Mexico	2006-05-19
Head of Government (Turkmenistan)	Make a visit	South Korea	2008-11-07
Evo Morales	Make a visit	Mexico	2007-01-20
Ahmad Mohamed Ibrahim	Make a visit	Iran	2013-05-05
Mikulas Dzurinda	Make a visit	Japan	2005-05-25
South Korea	Make a visit	Japan	2011-03-13
Barack Obama	Make a visit	South Africa	2013-06-25
Ombudsman (Kyrgyzstan)	Make a visit	Iran	2011-08-09
Angela Merkel	Make a visit	China	2007-11-27
Ibrahim Shekarau	Make a visit	Royal Administration (Nigeria)	2008-12-29
African Union	Make a visit	South Africa	2015-06-17
Roh Moo Hyun	Make a visit	Japan	2005-10-26
Lulama Marytheresa Xingwana	Make a visit	South Africa	2008-03-27
Tony Blair	Make a visit	South Sudan	2013-01-08
Barack Obama	Make a visit	France	2014-06-06
Progressive Socialist Party	Make a visit	Kuwait	2014-06-25
Head of Government (Nigeria)	Make a visit	Barack Obama	2015-07-22
Wen Jiabao	Make a visit	South Africa	2006-07-27
Mahmoud Ahmadinejad	Make a visit	Iran	2005-07-03
International Monetary Fund	Make a visit	Madagascar	2014-07-01
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	Mahmoud Abbas	2006-10-10
African Union	Make a visit	Ethiopia	2005-08-05
Royal Administration (Ireland)	Make a visit	Northern Ireland	2011-02-17
Mahmoud Abbas	Make a visit	Kuwait	2006-02-06
Rafael Antonio Bielsa	Make a visit	Guatemala	2005-04-27
Envoy (United States)	Make a visit	South Korea	2006-10-17
Janez Jansa	Make a visit	China	2007-11-10
Barack Obama	Make a visit	South Africa	2015-06-25
UN Security Council	Make a visit	Thailand	2015-07-14
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	Guatemala	2011-06-22
Royal Administration (Saudi Arabia)	Make a visit	China	2006-01-22
National Front Malaysia	Make a visit	Malaysia	2012-10-22
Cristina Fernández de Kirchner	Make a visit	France	2008-04-07
Envoy (United States)	Make a visit	South Korea	2008-05-10
Nonaligned Movement	Make a visit	Iran	2012-09-12
Xi Jinping	Make a visit	Japan	2009-11-22
Muhammad VI	Make a visit	United Arab Emirates	2012-10-23
Ashraf Ghani Ahmadzai	Make a visit	Toryalai Wesa	2010-04-24
Janez Jansa	Make a visit	China	2007-11-08
Foreign Affairs (France)	Make a visit	Kazakhstan	2013-03-01
Legislature (Turkey)	Make a visit	Iraq	2013-10-24
Rupiah Banda	Make a visit	South Africa	2013-02-17
Ma Ying Jeou	Make a visit	Anote Tong	2010-06-08
Sabah Khaled Al-Hamad Al-Sabah	Make a visit	Iraq	2014-11-01
Foreign Affairs (Belarus)	Make a visit	Vietnam	2006-10-31
Pedro Manuel Mamede Passos Coelho	Make a visit	Head of Government (Portugal)	2013-07-24
Macky Sall	Make a visit	Portugal	2015-09-08
Defense / Security Ministry (Croatia)	Make a visit	Portugal	2007-07-17
Head of Government (Democratic Republic of Congo)	Make a visit	China	2005-03-23
African Union	Make a visit	Qatar	2010-05-18
Envoy (United States)	Make a visit	South Korea	2005-12-19
Ministry (Iran)	Make a visit	Iraq	2013-04-01
Barack Obama	Make a visit	Middle East	2009-04-07
Xi Jinping	Make a visit	Mexico	2013-05-31
Envoy (United States)	Make a visit	South Korea	2008-11-24
Christine Lagarde	Make a visit	Romania	2013-07-09
Abdullah Gül	Make a visit	France	2009-10-07
Roza Otunbayeva	Make a visit	China	2011-09-02
Iran	Make a visit	Iraq	2012-05-30
UAE Armed Forces	Make a visit	China	2009-08-18
Foreign Affairs (South Korea)	Make a visit	Japan	2005-10-19
Benjamin Netanyahu	Make a visit	North America	2012-03-02
Jawad al-Bulani	Make a visit	Iraq	2010-01-22
Bill Richardson	Make a visit	Mexico	2008-01-25
Abhisit Vejjajiva	Make a visit	China	2010-11-12
Media Personnel (Australia)	Make a visit	Timor-Leste	2009-08-12
Abdel Fattah Al-Sisi	Make a visit	Royal Administration (Spain)	2015-05-01
Murli Deora	Make a visit	Iran	2008-01-18
Sato Kilman	Make a visit	China	2005-01-21
Mahmoud Abbas	Make a visit	Japan	2005-05-15
Abdel Fattah Al-Sisi	Make a visit	France	2015-05-13
Pervez Musharraf	Make a visit	Government (Poland)	2007-04-23
Head of Government (Germany)	Make a visit	China	2007-08-28
Abdoulaye Wade	Make a visit	Karim Wade	2015-02-16
Jack Straw	Make a visit	Iraq	2006-04-04
Refugee (Afghanistan)	Make a visit	Iran	2009-04-24
African Union	Make a visit	South Africa	2015-06-10
Barack Obama	Make a visit	Tanzania	2013-07-08
China	Make a visit	Romania	2012-04-19
Member of Legislative (Govt) (South Korea)	Make a visit	Iran	2014-01-21
Macky Sall	Make a visit	France	2015-01-25
Muhammad VI	Make a visit	Royal Air Force	2015-05-21
Shrien Dewani	Make a visit	South Africa	2014-11-24
Barack Obama	Make a visit	Ethiopia	2015-06-21
Shivshankar Menon	Make a visit	Iran	2007-12-14
United Arab Emirates	Make a visit	Iran	2014-06-05
Defense / Security Ministry (Estonia)	Make a visit	Japan	2013-03-07
Student (Spain)	Make a visit	France	2015-11-14
Envoy (United States)	Make a visit	South Korea	2007-11-05
Kim Kye Gwan	Make a visit	China	2013-06-19
Ma Ying Jeou	Make a visit	Belize	2009-06-01
Ali Abdullah Saleh	Make a visit	Yemen	2005-02-06
Jon Corzine	Make a visit	Mahmoud Abbas	2005-03-13
Rafael Correa	Make a visit	Bolivia	2007-06-14
Mahmoud Ahmadinejad	Make a visit	Iran	2007-09-15
Benjamin Netanyahu	Make a visit	France	2011-05-04
Barack Obama	Make a visit	Middle East	2010-03-08
Joon Young Woo	Make a visit	China	2006-03-11
Iran	Make a visit	China	2010-09-08
Defense / Security Ministry (United States)	Make a visit	Thailand	2005-06-06
South Korea	Make a visit	Japan	2011-03-14
Sheikh Hamad bin Khalifa al-Thani	Make a visit	Yemen	2009-03-08
Head of Government (Sierra Leone)	Make a visit	South Korea	2015-12-14
Adil Abdul-Mahdi	Make a visit	Iraq	2007-02-26
Vietnam	Make a visit	Kazakhstan	2015-05-29
Laos	Make a visit	Vietnam	2005-08-09
Iraq	Make a visit	Kuwait	2012-03-17
Ingrid Betancourt Pulecio	Make a visit	Foreign Affairs (France)	2008-12-02
Surakiart Sathirathai	Make a visit	Malaysia	2005-08-12
John Paul II	Make a visit	Mexico	2009-06-07
China	Make a visit	Thailand	2008-08-11
Association of Southeast Asian Nations	Make a visit	Cambodia	2012-07-16
William Ruto	Make a visit	The Hague	2013-09-13
Association of Southeast Asian Nations	Make a visit	Malaysia	2005-05-09
Muhammadu Buhari	Make a visit	Niger	2015-06-01
Head of Government (Nigeria)	Make a visit	Sudan	2005-01-08
Jusuf Kalla	Make a visit	Malaysia	2005-05-04
Alain Joyandet	Make a visit	Comoros	2009-07-01
Indigenous People (United Kingdom)	Make a visit	France	2014-08-01
Foreign Affairs (Syria)	Make a visit	Iraq	2006-11-23
Muhammadu Buhari	Make a visit	Barack Obama	2015-07-23
Hisham Qandil	Make a visit	Government (Palestinian Territory, Occupied)	2012-11-16
Naval (United States)	Make a visit	Sudan	2015-08-25
Wen Jiabao	Make a visit	Japan	2007-04-21
Javier Solana	Make a visit	Middle East	2006-02-13
Xi Jinping	Make a visit	South Africa	2013-03-25
Roh Moo Hyun	Make a visit	China	2006-08-26
Dmitry Anatolyevich Medvedev	Make a visit	China	2006-08-29
Defense / Security Ministry (United States)	Make a visit	Laos	2007-12-17
Angela Merkel	Make a visit	France	2014-02-15
Philip Hammond	Make a visit	Islam Karimov	2012-03-13
Iran	Make a visit	Sudan	2013-09-19
Tony Blair	Make a visit	Kuwait	2007-12-16
Envoy (Eritrea)	Make a visit	France	2014-03-16
Abdoulaye Wade	Make a visit	Niger	2011-04-07
Antonis Samaras	Make a visit	Xi Jinping	2013-05-17
Rafael Correa	Make a visit	Evo Morales	2009-07-16
Mohamed Ould Abdel Aziz	Make a visit	France	2013-06-03
Head of Government (Mongolia)	Make a visit	Vietnam	2014-11-18
Barack Obama	Make a visit	Japan	2010-10-23
Raúl Castro	Make a visit	Mexico	2014-12-19
Ali Abdullah Saleh	Make a visit	South Korea	2005-04-27
Cambodia	Make a visit	Vietnam	2012-11-15
Angola	Make a visit	Guinea-Bissau	2012-06-11
Isaias Afewerki	Make a visit	Head of Government (Qatar)	2011-07-01
Werner Faymann	Make a visit	Romania	2012-11-28
Xi Jinping	Make a visit	Colombia	2009-02-23
Korean Workers Party	Make a visit	China	2011-07-07
Lien Chan	Make a visit	China	2006-02-12
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	Sudan	2007-04-14
Sengoku Yoshito	Make a visit	Energy Department/Ministry (Japan)	2010-07-29
Lawmaker (Vietnam)	Make a visit	China	2007-04-16
Raúl Castro	Make a visit	Colombia	2007-12-12
Chuck Hagel	Make a visit	Middle East	2013-12-20
Ali Abdullah Saleh	Make a visit	Yemen	2008-06-18
Media Personnel (China)	Make a visit	Iran	2008-05-07
Uhuru Muigai Kenyatta	Make a visit	Sudan	2015-06-03
High Commission for Refugees	Make a visit	South Sudan	2014-03-31
Iraq	Make a visit	Iran	2008-05-06
Barack Obama	Make a visit	Japan	2014-04-10
Alberto Gonzales	Make a visit	Mexico	2005-03-30
Chuck Hagel	Make a visit	United Arab Emirates	2013-04-25
Michael Sata	Make a visit	Malawi	2006-08-25
Grand National Party	Make a visit	China	2010-11-03
China	Make a visit	Abdullah Gül	2009-05-12
Mahmoud Ahmadinejad	Make a visit	Iran	2013-06-27
Ann Margaret Veneman	Make a visit	Swaziland	2005-05-25
Foreign Affairs (India)	Make a visit	Laos	2008-08-08
Head of Government (Bahrain)	Make a visit	Thailand	2008-01-28
Mahmoud Ahmadinejad	Make a visit	Iraq	2012-12-22
Japan	Make a visit	Presidential Family (United States)	2015-03-19
South Korea	Make a visit	Iraq	2006-12-04
Daniel Constantin	Make a visit	Qatar	2015-05-24
Isaias Afewerki	Make a visit	Sudan	2006-11-29
African Union	Make a visit	Ethiopia	2014-02-02
South Korea	Make a visit	Japan	2008-03-05
Nuri al-Maliki	Make a visit	Iran	2013-12-09
Lee Myung Bak	Make a visit	China	2008-08-12
Cambodia	Make a visit	Laos	2007-07-03
Employee (Kuwait)	Make a visit	Iraq	2005-08-22
Uhuru Muigai Kenyatta	Make a visit	United Arab Emirates	2014-11-24
Naval (United States)	Make a visit	South Korea	2014-03-10
Japan	Make a visit	Iran	2008-12-10
Mahmoud Abbas	Make a visit	Qatar	2014-05-06
Georgios Papandreou	Make a visit	France	2005-02-11
High Commission for Refugees	Make a visit	Qatar	2006-06-03
Naval (United States)	Make a visit	Vietnam	2007-11-14
Head of Government (Grenada)	Make a visit	China	2005-07-09
Vietnam	Make a visit	Japan	2007-12-03
Xi Jinping	Make a visit	China	2015-12-12
Envoy (United States)	Make a visit	China	2005-05-06
Daniel Arap Moi	Make a visit	China	2006-04-27
Wen Jiabao	Make a visit	Japan	2007-11-21
Ahmed Abdallah Sambi	Make a visit	Citizen (Tanzania)	2008-08-25
Barack Obama	Make a visit	Tanzania	2013-07-09
Tony Blair	Make a visit	Portugal	2007-07-22
Abu Bakr Abdullah al-Qirbi	Make a visit	Iran	2007-03-11
Barack Obama	Make a visit	Middle East	2013-04-04
Mahmoud Abbas	Make a visit	Japan	2010-02-08
Barack Obama	Make a visit	France	2009-06-05
Mainland Affairs Council	Make a visit	China	2014-02-11
Royal Administration (Spain)	Make a visit	France	2015-03-25
Mahmoud Ahmadinejad	Make a visit	Iran	2010-11-23
Antonis Samaras	Make a visit	France	2014-02-25
Mohammed Qasim Fahim	Make a visit	Iran	2010-12-28
Rupiah Banda	Make a visit	South Africa	2013-02-14
Barack Obama	Make a visit	Japan	2009-10-20
Rafael Correa	Make a visit	Colombia	2010-08-06
Sheikh Hamad bin Khalifa al-Thani	Make a visit	Romania	2008-03-05
Xi Jinping	Make a visit	China	2014-05-18
Angola	Make a visit	Portugal	2013-02-14
Japan	Make a visit	China	2006-08-15
Elizabeth II	Make a visit	Ireland	2011-05-14
National Front Malaysia	Make a visit	France	2009-10-09
International Monetary Fund	Make a visit	Malawi	2014-12-19
France	Make a visit	Ireland	2011-10-03
African Union	Make a visit	Ethiopia	2012-02-04
Royal Administration (Spain)	Make a visit	Ethiopia	2015-01-30
Vietnam	Make a visit	China	2005-07-26
Nonaligned Movement	Make a visit	Iran	2012-09-18
Adji Otheth Ayassor	Make a visit	China	2009-04-27
Mahmoud Ahmadinejad	Make a visit	Iraq	2008-01-21
Wen Jiabao	Make a visit	Japan	2011-09-16
Sheikh Hamad bin Khalifa al-Thani	Make a visit	Sudan	2009-02-22
Laos	Make a visit	Japan	2007-05-21
Head of Government (Germany)	Make a visit	Middle East	2007-02-06
Association of Southeast Asian Nations	Make a visit	Laos	2005-07-07
Branko Crvenkovski	Make a visit	Romania	2006-02-28
Jakaya Mrisho Kikwete	Make a visit	South Korea	2006-11-13
Laos	Make a visit	Vietnam	2005-05-03
High Commission (United Kingdom)	Make a visit	Umaru Musa Yar'Adua	2008-01-19
Elizabeth Dipuo Peters	Make a visit	United Arab Emirates	2013-01-15
Head of Government (South Korea)	Make a visit	Fishermen (Japan)	2012-08-21
Chen Deming	Make a visit	China	2008-07-06
Rose Gottemoeller	Make a visit	Vietnam	2015-03-03
Antonis Samaras	Make a visit	Nicos Anastasiades	2013-10-11
Muhammadu Buhari	Make a visit	Presidential Aide (Nigeria)	2015-04-26
Foreign Affairs (Israel)	Make a visit	Justice and Development Party	2006-02-22
Robert Hill	Make a visit	Cambodia	2005-04-05
Anupong Paochinda	Make a visit	Thailand	2008-07-14
Yemen	Make a visit	Djibouti	2013-06-18
Cristina Fernández de Kirchner	Make a visit	South Korea	2009-10-15
Jens Stoltenberg	Make a visit	Japan	2011-03-14
Donald Rumsfeld	Make a visit	China	2005-06-14
Energy Department/Ministry (Kenya)	Make a visit	Sudan	2005-08-29
Vietnam	Make a visit	China	2010-12-04
Angela Merkel	Make a visit	Middle East	2005-12-19
Benedict XVI	Make a visit	Shimon Peres	2012-12-04
Emperor Akihito	Make a visit	Japan	2011-02-14
Domestic Affairs (Zimbabwe)	Make a visit	South Africa	2011-02-21
Norodom Sihanouk	Make a visit	China	2012-03-20
Elizabeth II	Make a visit	France	2008-06-27
Activist (United States)	Make a visit	Iran	2008-11-25
Head of Government (Brazil)	Make a visit	Iran	2010-04-15
Jens Stoltenberg	Make a visit	China	2007-03-30
Court of Audit	Make a visit	China	2006-03-28
Xi Jinping	Make a visit	China	2014-05-03
Head of Government (Mongolia)	Make a visit	Heinz Fischer	2014-10-15
Kuwait	Make a visit	Qatar	2009-03-04
Head of Government (India)	Make a visit	Iran	2013-08-04
Roh Moo Hyun	Make a visit	Guatemala	2007-07-03
Sabah Khaled Al-Hamad Al-Sabah	Make a visit	Iraq	2014-11-02
Theresa May	Make a visit	France	2015-08-19
Cabinet / Council of Ministers / Advisors (Honduras)	Make a visit	Guatemala	2011-02-09
Daniel Ortega	Make a visit	Media (Libya)	2007-06-06
Media Personnel (International)	Make a visit	Military (Russia)	2015-10-24
Harald Ringstorff	Make a visit	Vietnam	2007-09-10
Agence France-Presse	Make a visit	Iran	2013-06-14
Foreign Affairs (Singapore)	Make a visit	Romania	2010-05-22
Head of Government (Chad)	Make a visit	Sudan	2007-06-22
Bahk Jaewan	Make a visit	South Korea	2012-02-24
Mahmoud Ahmadinejad	Make a visit	Evo Morales	2010-10-28
Nonaligned Movement	Make a visit	Iran	2012-07-15
Emperor Akihito	Make a visit	South Korea	2009-09-29
China	Make a visit	Ministry (Nigeria)	2014-07-01
International Monetary Fund	Make a visit	Government (Cote d'Ivoire)	2007-05-16
Abdullah Gül	Make a visit	China	2009-07-07
Head of Government (Ukraine)	Make a visit	Kazakhstan	2015-05-06
African Union	Make a visit	Ethiopia	2010-01-29
Head of Government (Egypt)	Make a visit	France	2014-11-27
Abhisit Vejjajiva	Make a visit	China	2009-06-24
Muhammad VI	Make a visit	Ali Bongo Ondimba	2013-03-27
Rupiah Banda	Make a visit	Malawi	2009-05-22
Dmitry Anatolyevich Medvedev	Make a visit	Middle East	2011-01-20
Xi Jinping	Make a visit	China	2013-04-03
Jason Kenney	Make a visit	Mexico	2008-04-03
Barack Obama	Make a visit	Japan	2010-05-17
Abdoulaye Wade	Make a visit	Sudan	2010-11-04
Head of Government (Botswana)	Make a visit	Angola	2007-07-03
Abdul Kalam	Make a visit	South Africa	2005-06-29
Media Personnel (Pakistan)	Make a visit	Mahmoud Ahmadinejad	2012-02-18
UN Security Council	Make a visit	Iraq	2006-11-26
Wen Jiabao	Make a visit	South Korea	2007-01-26
Rafael Correa	Make a visit	South Korea	2010-09-11
Mao Zedong	Make a visit	China	2015-11-06
Kuomintang	Make a visit	China	2005-10-13
Barack Obama	Make a visit	Cambodia	2012-11-20
Donald Rumsfeld	Make a visit	Iraq	2005-07-10
Envoy (United States)	Make a visit	Japan	2010-07-29
Alexander Stubb	Make a visit	Middle East	2010-01-17
United Arab Emirates	Make a visit	Vietnam	2007-09-06
Barack Obama	Make a visit	Ethiopia	2015-08-04
Special Rapporteurs of the United Nations	Make a visit	Iran	2005-02-06
Haider Al-Abadi	Make a visit	Iran	2014-09-25
