head	relation_x	tail	time_x
Mohammad Javad Zarif	Ease economic sanctions, boycott, embargo	Iran	2014-03-18
Mohammad Javad Zarif	Ease economic sanctions, boycott, embargo	Iran	2014-03-02
Mohammad Javad Zarif	Ease economic sanctions, boycott, embargo	Iran	2014-03-03
South Korea	Engage in diplomatic cooperation	North Korea	2014-01-03
South Korea	Engage in diplomatic cooperation	North Korea	2014-08-14
South Korea	Engage in diplomatic cooperation	North Korea	2014-03-06
South Korea	Engage in diplomatic cooperation	North Korea	2014-04-15
South Korea	Engage in diplomatic cooperation	North Korea	2014-01-05
Iran	Engage in diplomatic cooperation	China	2014-06-08
Iran	Engage in diplomatic cooperation	China	2014-11-16
Iran	Engage in diplomatic cooperation	China	2014-06-23
Iran	Engage in diplomatic cooperation	China	2014-11-17
Iran	Engage in diplomatic cooperation	China	2014-11-25
Iran	Engage in diplomatic cooperation	China	2014-05-21
Iran	Engage in diplomatic cooperation	China	2014-06-25
Iran	Engage in diplomatic cooperation	China	2014-02-23
Japan	Engage in diplomatic cooperation	China	2014-01-24
Japan	Engage in diplomatic cooperation	China	2014-04-24
Japan	Engage in diplomatic cooperation	China	2014-04-21
Japan	Engage in diplomatic cooperation	China	2014-11-07
Japan	Engage in diplomatic cooperation	China	2014-11-17
Japan	Engage in diplomatic cooperation	China	2014-09-10
Japan	Engage in diplomatic cooperation	China	2014-08-25
Japan	Engage in diplomatic cooperation	China	2014-06-24
Japan	Engage in diplomatic cooperation	China	2014-06-08
Japan	Engage in diplomatic cooperation	China	2014-06-18
Japan	Engage in diplomatic cooperation	China	2014-06-30
Japan	Engage in diplomatic cooperation	China	2014-11-26
Japan	Engage in diplomatic cooperation	China	2014-12-01
Japan	Engage in diplomatic cooperation	China	2014-04-16
Iran	Engage in diplomatic cooperation	Iraq	2014-01-07
Iran	Engage in diplomatic cooperation	Iraq	2014-12-19
Iran	Engage in diplomatic cooperation	Iraq	2014-10-21
Iran	Engage in diplomatic cooperation	Iraq	2014-01-21
Iran	Engage in diplomatic cooperation	Iraq	2014-08-25
Iran	Engage in diplomatic cooperation	Iraq	2014-11-04
Iran	Engage in diplomatic cooperation	Iraq	2014-08-05
Iran	Engage in diplomatic cooperation	Iraq	2014-11-12
Iran	Engage in diplomatic cooperation	Iraq	2014-12-09
Iran	Engage in diplomatic cooperation	Iraq	2014-08-24
Iran	Engage in diplomatic cooperation	Iraq	2014-08-26
Iran	Engage in diplomatic cooperation	Iraq	2014-02-21
Iran	Engage in diplomatic cooperation	Iraq	2014-05-18
Iran	Engage in diplomatic cooperation	Iraq	2014-12-08
Iran	Engage in diplomatic cooperation	Iraq	2014-12-11
Iran	Engage in diplomatic cooperation	Iraq	2014-10-19
Iran	Engage in diplomatic cooperation	Iraq	2014-04-11
Iran	Engage in diplomatic cooperation	Iraq	2014-08-27
Iran	Engage in diplomatic cooperation	Iraq	2014-12-31
Iran	Engage in diplomatic cooperation	Iraq	2014-09-10
Iran	Engage in diplomatic cooperation	Iraq	2014-01-09
Iran	Engage in diplomatic cooperation	Iraq	2014-09-29
Iran	Engage in diplomatic cooperation	Iraq	2014-02-19
Iran	Engage in diplomatic cooperation	Iraq	2014-10-15
Iran	Engage in diplomatic cooperation	Iraq	2014-12-30
Iran	Engage in diplomatic cooperation	Iraq	2014-01-14
Iran	Engage in diplomatic cooperation	Iraq	2014-12-21
Iran	Engage in diplomatic cooperation	Iraq	2014-12-17
Iran	Engage in diplomatic cooperation	Iraq	2014-05-12
Iran	Engage in diplomatic cooperation	Iraq	2014-11-10
Iran	Engage in diplomatic cooperation	Iraq	2014-12-02
Iran	Engage in diplomatic cooperation	Iraq	2014-10-20
Iran	Engage in diplomatic cooperation	Iraq	2014-01-15
China	Engage in diplomatic cooperation	Japan	2014-05-09
China	Engage in diplomatic cooperation	Japan	2014-12-01
China	Engage in diplomatic cooperation	Japan	2014-05-30
China	Engage in diplomatic cooperation	Japan	2014-04-21
China	Engage in diplomatic cooperation	Japan	2014-06-18
China	Engage in diplomatic cooperation	Japan	2014-11-17
China	Engage in diplomatic cooperation	Japan	2014-06-05
China	Engage in diplomatic cooperation	Japan	2014-04-16
China	Engage in diplomatic cooperation	Japan	2014-11-07
China	Engage in diplomatic cooperation	Japan	2014-06-30
China	Engage in diplomatic cooperation	Japan	2014-11-05
China	Engage in diplomatic cooperation	Japan	2014-11-11
China	Engage in diplomatic cooperation	Japan	2014-03-08
China	Engage in diplomatic cooperation	Japan	2014-05-07
China	Engage in diplomatic cooperation	Japan	2014-08-22
China	Engage in diplomatic cooperation	Japan	2014-06-08
Government (Nigeria)	Engage in diplomatic cooperation	Citizen (Nigeria)	2014-10-07
Government (Nigeria)	Engage in diplomatic cooperation	Citizen (Nigeria)	2014-11-27
China	Engage in diplomatic cooperation	Thailand	2014-10-30
China	Engage in diplomatic cooperation	Thailand	2014-10-08
China	Engage in diplomatic cooperation	Thailand	2014-07-14
China	Engage in diplomatic cooperation	South Korea	2014-07-07
China	Engage in diplomatic cooperation	South Korea	2014-05-29
China	Engage in diplomatic cooperation	South Korea	2014-03-27
China	Engage in diplomatic cooperation	South Korea	2014-02-21
China	Engage in diplomatic cooperation	South Korea	2014-06-18
China	Engage in diplomatic cooperation	South Korea	2014-05-24
China	Engage in diplomatic cooperation	South Korea	2014-12-17
China	Engage in diplomatic cooperation	South Korea	2014-09-25
China	Engage in diplomatic cooperation	South Korea	2014-07-05
China	Engage in diplomatic cooperation	South Korea	2014-05-27
China	Engage in diplomatic cooperation	South Korea	2014-07-10
China	Engage in diplomatic cooperation	South Korea	2014-01-08
China	Engage in diplomatic cooperation	South Korea	2014-08-22
China	Engage in diplomatic cooperation	South Korea	2014-01-01
China	Engage in diplomatic cooperation	South Korea	2014-02-24
China	Engage in diplomatic cooperation	South Korea	2014-06-05
China	Engage in diplomatic cooperation	South Korea	2014-06-27
China	Engage in diplomatic cooperation	South Korea	2014-06-02
South Korea	Engage in diplomatic cooperation	China	2014-05-27
South Korea	Engage in diplomatic cooperation	China	2014-01-01
South Korea	Engage in diplomatic cooperation	China	2014-09-25
South Korea	Engage in diplomatic cooperation	China	2014-06-05
South Korea	Engage in diplomatic cooperation	China	2014-12-11
South Korea	Engage in diplomatic cooperation	China	2014-07-07
South Korea	Engage in diplomatic cooperation	China	2014-02-13
South Korea	Engage in diplomatic cooperation	China	2014-06-02
South Korea	Engage in diplomatic cooperation	China	2014-06-18
South Korea	Engage in diplomatic cooperation	China	2014-06-27
South Korea	Engage in diplomatic cooperation	China	2014-03-27
South Korea	Engage in diplomatic cooperation	China	2014-08-22
South Korea	Engage in diplomatic cooperation	China	2014-12-17
South Korea	Engage in diplomatic cooperation	China	2014-07-05
South Korea	Engage in diplomatic cooperation	China	2014-05-24
South Korea	Engage in diplomatic cooperation	China	2014-05-29
China	Engage in diplomatic cooperation	Malaysia	2014-03-26
China	Engage in diplomatic cooperation	Malaysia	2014-06-01
China	Engage in diplomatic cooperation	Malaysia	2014-10-07
China	Engage in diplomatic cooperation	Malaysia	2014-04-02
China	Engage in diplomatic cooperation	Malaysia	2014-05-26
France	Engage in diplomatic cooperation	China	2014-04-11
France	Engage in diplomatic cooperation	China	2014-07-02
France	Engage in diplomatic cooperation	China	2014-09-15
France	Engage in diplomatic cooperation	China	2014-02-26
France	Engage in diplomatic cooperation	China	2014-09-16
South Korea	Engage in diplomatic cooperation	Japan	2014-03-26
South Korea	Engage in diplomatic cooperation	Japan	2014-06-30
South Korea	Engage in diplomatic cooperation	Japan	2014-01-16
South Korea	Engage in diplomatic cooperation	Japan	2014-10-25
South Korea	Engage in diplomatic cooperation	Japan	2014-06-10
South Korea	Engage in diplomatic cooperation	Japan	2014-06-18
South Korea	Engage in diplomatic cooperation	Japan	2014-12-11
South Korea	Engage in diplomatic cooperation	Japan	2014-07-28
South Korea	Engage in diplomatic cooperation	Japan	2014-08-22
South Korea	Engage in diplomatic cooperation	Japan	2014-09-19
South Korea	Engage in diplomatic cooperation	Japan	2014-07-01
South Korea	Engage in diplomatic cooperation	Japan	2014-08-16
South Korea	Engage in diplomatic cooperation	Japan	2014-09-18
South Korea	Engage in diplomatic cooperation	Japan	2014-09-17
South Korea	Engage in diplomatic cooperation	Japan	2014-09-16
South Korea	Engage in diplomatic cooperation	Japan	2014-10-20
South Korea	Engage in diplomatic cooperation	Japan	2014-09-20
South Korea	Engage in diplomatic cooperation	Japan	2014-01-13
South Korea	Engage in diplomatic cooperation	Japan	2014-08-21
South Korea	Engage in diplomatic cooperation	Japan	2014-02-08
China	Engage in diplomatic cooperation	Iran	2014-06-22
China	Engage in diplomatic cooperation	Iran	2014-07-11
China	Engage in diplomatic cooperation	Iran	2014-05-21
China	Engage in diplomatic cooperation	Iran	2014-06-24
China	Engage in diplomatic cooperation	Iran	2014-09-21
China	Engage in diplomatic cooperation	Iran	2014-07-08
China	Engage in diplomatic cooperation	Iran	2014-06-08
China	Engage in diplomatic cooperation	Iran	2014-06-25
China	Engage in diplomatic cooperation	Iran	2014-06-23
China	Engage in diplomatic cooperation	Iran	2014-11-16
China	Engage in diplomatic cooperation	Iran	2014-05-22
China	Engage in diplomatic cooperation	Iran	2014-02-23
China	Engage in diplomatic cooperation	Iran	2014-10-19
China	Engage in diplomatic cooperation	Angola	2014-04-02
China	Engage in diplomatic cooperation	Angola	2014-05-10
China	Engage in diplomatic cooperation	France	2014-07-02
China	Engage in diplomatic cooperation	France	2014-05-31
China	Engage in diplomatic cooperation	France	2014-09-16
China	Engage in diplomatic cooperation	France	2014-04-11
China	Engage in diplomatic cooperation	France	2014-02-26
Armenia	Engage in diplomatic cooperation	Iran	2014-05-14
Armenia	Engage in diplomatic cooperation	Iran	2014-05-12
Armenia	Engage in diplomatic cooperation	Iran	2014-01-23
Armenia	Engage in diplomatic cooperation	Iran	2014-05-08
China	Engage in diplomatic cooperation	Tanzania	2014-07-24
Sudan	Engage in diplomatic cooperation	South Sudan	2014-03-23
Sudan	Engage in diplomatic cooperation	South Sudan	2014-04-09
Kazakhstan	Engage in diplomatic cooperation	Iran	2014-09-08
Tajikistan	Engage in diplomatic cooperation	Iran	2014-12-12
Tajikistan	Engage in diplomatic cooperation	Iran	2014-09-11
Tajikistan	Engage in diplomatic cooperation	Iran	2014-08-11
China	Engage in diplomatic cooperation	Afghanistan	2014-10-22
China	Engage in diplomatic cooperation	Afghanistan	2014-10-29
China	Engage in diplomatic cooperation	Afghanistan	2014-10-28
China	Engage in diplomatic cooperation	Afghanistan	2014-11-13
China	Engage in diplomatic cooperation	Afghanistan	2014-06-02
China	Engage in diplomatic cooperation	Afghanistan	2014-10-21
China	Engage in diplomatic cooperation	Afghanistan	2014-05-21
China	Engage in diplomatic cooperation	Afghanistan	2014-02-26
China	Engage in diplomatic cooperation	Afghanistan	2014-06-01
Iran	Engage in diplomatic cooperation	United Arab Emirates	2014-05-31
Cambodia	Engage in diplomatic cooperation	Thailand	2014-12-02
Barack Obama	Engage in diplomatic cooperation	Iraq	2014-09-09
Barack Obama	Engage in diplomatic cooperation	Iraq	2014-09-08
Afghanistan	Engage in diplomatic cooperation	Tajikistan	2014-09-12
Afghanistan	Engage in diplomatic cooperation	Tajikistan	2014-12-05
Afghanistan	Engage in diplomatic cooperation	Tajikistan	2014-03-08
Afghanistan	Engage in diplomatic cooperation	Tajikistan	2014-01-14
Afghanistan	Engage in diplomatic cooperation	Tajikistan	2014-03-17
Afghanistan	Engage in diplomatic cooperation	Tajikistan	2014-12-15
United Arab Emirates	Engage in diplomatic cooperation	Iran	2014-04-18
Ethiopia	Engage in diplomatic cooperation	Sudan	2014-09-22
Vietnam	Engage in diplomatic cooperation	Cambodia	2014-12-24
Vietnam	Engage in diplomatic cooperation	Cambodia	2014-09-12
Vietnam	Engage in diplomatic cooperation	Cambodia	2014-09-25
Japan	Engage in diplomatic cooperation	Iran	2014-06-13
Japan	Engage in diplomatic cooperation	Iran	2014-06-11
Japan	Engage in diplomatic cooperation	Iran	2014-09-03
Japan	Engage in diplomatic cooperation	Iran	2014-12-25
Japan	Engage in diplomatic cooperation	Iran	2014-12-26
Japan	Engage in diplomatic cooperation	Iran	2014-03-06
Japan	Engage in diplomatic cooperation	Iran	2014-12-24
China	Engage in diplomatic cooperation	Ethiopia	2014-11-24
China	Engage in diplomatic cooperation	Ethiopia	2014-05-04
China	Engage in diplomatic cooperation	Ethiopia	2014-05-05
Canada	Engage in diplomatic cooperation	China	2014-11-09
Portugal	Engage in diplomatic cooperation	Iran	2014-01-29
Portugal	Engage in diplomatic cooperation	Iran	2014-10-09
Portugal	Engage in diplomatic cooperation	Iran	2014-10-10
Portugal	Engage in diplomatic cooperation	Iran	2014-01-26
Vietnam	Engage in diplomatic cooperation	Philippines	2014-07-10
China	Engage in diplomatic cooperation	Sudan	2014-08-27
Laos	Engage in diplomatic cooperation	Vietnam	2014-12-12
Laos	Engage in diplomatic cooperation	Vietnam	2014-12-16
China	Engage in diplomatic cooperation	Tajikistan	2014-11-07
China	Engage in diplomatic cooperation	Tajikistan	2014-10-30
China	Engage in diplomatic cooperation	Tajikistan	2014-05-20
Cambodia	Engage in diplomatic cooperation	China	2014-01-02
Armenia	Engage in diplomatic cooperation	Romania	2014-07-04
Iran	Express intent to change institutions, regime	Iraq	2014-08-06
China	Express intent to cooperate militarily	Thailand	2014-11-02
Barack Obama	Express intent to de-escalate military engagement	Iraq	2014-09-12
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-08-29
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-08-25
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-05-16
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-04-14
Government (Kenya)	Accede to demands for rights	Citizen (Kenya)	2014-11-17
China	Express intent to ease economic sanctions, boycott, or embargo	Iran	2014-01-13
South Korea	Express intent to cooperate on intelligence	Japan	2014-12-30
South Korea	Express intent to cooperate on intelligence	Japan	2014-12-29
South Korea	Express intent to cooperate on intelligence	Japan	2014-12-26
Japan	Express intent to settle dispute	China	2014-12-31
Japan	Express intent to settle dispute	China	2014-09-11
China	Express intent to settle dispute	Japan	2014-09-11
China	Express intent to settle dispute	Japan	2014-12-31
China	Express intent to settle dispute	South Korea	2014-07-07
China	Express intent to settle dispute	South Korea	2014-07-19
South Korea	Express intent to settle dispute	China	2014-09-11
South Korea	Express intent to settle dispute	China	2014-07-19
South Korea	Express intent to settle dispute	China	2014-07-07
France	Express intent to settle dispute	China	2014-02-27
South Korea	Express intent to settle dispute	Japan	2014-09-11
China	Express intent to settle dispute	Iran	2014-12-29
China	Express intent to settle dispute	Iran	2014-12-28
China	Express intent to settle dispute	France	2014-02-27
China	Express intent to settle dispute	Afghanistan	2014-10-28
China	Express intent to settle dispute	Afghanistan	2014-12-29
China	Express intent to settle dispute	Afghanistan	2014-12-28
Iran	Provide military protection or peacekeeping	Iraq	2014-07-05
Barack Obama	Provide military protection or peacekeeping	Iraq	2014-06-30
Barack Obama	Provide military protection or peacekeeping	Iraq	2014-07-03
Barack Obama	Provide military protection or peacekeeping	Iraq	2014-09-03
Barack Obama	Provide military protection or peacekeeping	Iraq	2014-09-02
South Korea	Appeal to yield	North Korea	2014-10-26
South Korea	Appeal to yield	North Korea	2014-10-24
South Korea	Reject judicial cooperation	Japan	2014-07-18
Iran	Reduce or stop military assistance	Iraq	2014-07-09
Iran	Reduce or stop military assistance	Iraq	2014-07-06
Government (Nigeria)	Reduce or stop military assistance	Citizen (Nigeria)	2014-11-03
Barack Obama	Accede to demands for change in policy	Iraq	2014-11-23
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-07
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-01
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-10-27
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-31
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-11
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-17
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-22
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-29
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-16
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-05
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-25
Court Judge (United Kingdom)	Appeal to others to settle dispute	Citizen (United Kingdom)	2014-09-26
Citizen (Nigeria)	Appeal for material cooperation	Government (Nigeria)	2014-03-03
Head of Government (India)	Appeal for material cooperation	Citizen (India)	2014-06-11
North Korea	Appeal for easing of economic sanctions, boycott, or embargo	South Korea	2014-06-26
North Korea	Reject military cooperation	South Korea	2014-02-16
North Korea	Threaten to halt negotiations	South Korea	2014-11-02
Citizen (Namibia)	Demand rights	Government (Namibia)	2014-09-03
Citizen (Kenya)	Demand judicial cooperation	Police (Kenya)	2014-12-22
Citizen (Kenya)	Demand judicial cooperation	Police (Kenya)	2014-06-17
South Korea	Reject judicial cooperation	Japan	2014-07-18
Citizen (Kenya)	Demand policy change	Government (Kenya)	2014-06-18
Citizen (Kenya)	Reject economic cooperation	Government (Kenya)	2014-08-04
Prayuth Chan-ocha	Threaten with repression	Citizen (Thailand)	2014-06-21
Governor (Thailand)	Demand material aid	Citizen (Thailand)	2014-04-23
Iran	Express intent to change institutions, regime	Iraq	2014-08-06
Iran	Reduce or stop military assistance	Iraq	2014-07-09
Iran	Reduce or stop military assistance	Iraq	2014-07-06
Protester (Vietnam)	Protest violently, riot	China	2014-05-17
Protester (Vietnam)	Protest violently, riot	China	2014-05-19
Protester (Thailand)	Protest violently, riot	Thailand	2014-01-28
Protester (Thailand)	Protest violently, riot	Thailand	2014-02-18
Protester (Thailand)	Protest violently, riot	Thailand	2014-01-29
Protester (Thailand)	Protest violently, riot	Thailand	2014-01-13
Protester (Thailand)	Protest violently, riot	Thailand	2014-02-26
Protester (Thailand)	Protest violently, riot	Thailand	2014-01-18
Protester (Thailand)	Protest violently, riot	Thailand	2014-02-05
Protester (Thailand)	Protest violently, riot	Thailand	2014-02-19
Protester (Thailand)	Protest violently, riot	Thailand	2014-01-22
Protester (Thailand)	Protest violently, riot	Thailand	2014-02-07
Protester (Thailand)	Protest violently, riot	Thailand	2014-02-04
Protester (Thailand)	Protest violently, riot	Thailand	2014-02-20
Protester (Thailand)	Protest violently, riot	Thailand	2014-02-03
Protester (Thailand)	Protest violently, riot	Thailand	2014-01-26
Protester (Hong Kong)	Protest violently, riot	Other Authorities / Officials (Hong Kong)	2014-11-27
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-10
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-04-03
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-09-30
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-02-22
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-08-15
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-04-26
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-07
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-03
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-04-14
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-08-14
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-04-19
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-02-07
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-07-04
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-29
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-23
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-12-01
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-30
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-19
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-14
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-11-28
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-11-30
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-07-03
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-08-08
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-31
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-05-23
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-09-22
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-02-14
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-04-16
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-26
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-25
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-09-16
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-08
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-24
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-17
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-05
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-11-29
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-04
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-05
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-08-13
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-26
Protester (Yemen)	Protest violently, riot	Police (Yemen)	2014-12-22
Protester (Yemen)	Protest violently, riot	Police (Yemen)	2014-12-15
Protester (Yemen)	Protest violently, riot	Police (Yemen)	2014-09-09
Protester (Yemen)	Protest violently, riot	Police (Yemen)	2014-12-16
Protester (Yemen)	Protest violently, riot	Police (Yemen)	2014-12-08
Protester (Bosnia and Herzegovina)	Protest violently, riot	Police (Bosnia and Herzegovina)	2014-02-05
Protester (Bosnia and Herzegovina)	Protest violently, riot	Police (Bosnia and Herzegovina)	2014-02-19
Protester (Bosnia and Herzegovina)	Protest violently, riot	Police (Bosnia and Herzegovina)	2014-02-18
Protester (Bosnia and Herzegovina)	Protest violently, riot	Police (Bosnia and Herzegovina)	2014-02-06
Protester (Bosnia and Herzegovina)	Protest violently, riot	Police (Bosnia and Herzegovina)	2014-02-09
Protester (Bosnia and Herzegovina)	Protest violently, riot	Police (Bosnia and Herzegovina)	2014-02-07
Citizen (India)	Protest violently, riot	Military Personnel (India)	2014-04-20
Protester (Pakistan)	Protest violently, riot	Government (Pakistan)	2014-09-02
Protester (Pakistan)	Protest violently, riot	Government (Pakistan)	2014-01-29
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-04-02
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-11-30
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-09-29
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-20
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-11-28
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-16
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-09-30
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-12-02
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-05
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-12-03
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-06-14
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-12-26
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-21
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-12-01
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-19
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-12-10
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-06-17
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-12-16
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-11-25
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-04
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-03
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-17
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-09-28
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-15
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-11-06
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-09-27
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-11-26
Protester (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-11-29
Student Dissident (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-16
Student Dissident (Hong Kong)	Protest violently, riot	Police (Hong Kong)	2014-10-15
Protester (Pakistan)	Protest violently, riot	Legislature (Pakistan)	2014-11-13
Protester (Egypt)	Protest violently, riot	Abdel Fattah Al-Sisi	2014-03-29
Protester (Ukraine)	Protest violently, riot	City Mayor (Ukraine)	2014-04-13
Protester (Ukraine)	Protest violently, riot	City Mayor (Ukraine)	2014-02-18
Protester (Macedonia)	Protest violently, riot	Police (Macedonia)	2014-07-04
Protester (Thailand)	Obstruct passage, block	Thailand	2014-04-01
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-27
Protester (Thailand)	Obstruct passage, block	Thailand	2014-02-06
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-14
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-20
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-21
Protester (Thailand)	Obstruct passage, block	Thailand	2014-02-26
Protester (Thailand)	Obstruct passage, block	Thailand	2014-02-14
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-31
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-01
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-22
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-13
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-08
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-02
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-12
Protester (Thailand)	Obstruct passage, block	Thailand	2014-02-03
Protester (Thailand)	Obstruct passage, block	Thailand	2014-03-22
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-15
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-28
Protester (Thailand)	Obstruct passage, block	Thailand	2014-03-05
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-16
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-30
Protester (Thailand)	Obstruct passage, block	Thailand	2014-01-18
Citizen (Tanzania)	Obstruct passage, block	Tanzania	2014-06-26
Protester (Pakistan)	Obstruct passage, block	Legislature (Pakistan)	2014-08-25
Protester (Pakistan)	Obstruct passage, block	Legislature (Pakistan)	2014-08-26
Protester (Pakistan)	Obstruct passage, block	Legislature (Pakistan)	2014-08-20
Protester (Ukraine)	Obstruct passage, block	City Mayor (Ukraine)	2014-02-15
Protester (Ukraine)	Obstruct passage, block	City Mayor (Ukraine)	2014-04-29
Protester (Thailand)	Reduce or stop humanitarian assistance	Thailand	2014-01-22
Protester (Thailand)	Reduce or stop humanitarian assistance	Thailand	2014-01-08
