,head,relation,tail,time
30742,Barack Obama,Express intent to provide humanitarian aid,Iraq,2015-04-15
30743,Mahmoud Ahmadinejad,Host a visit,Pervez Musharraf,2008-04-28
30744,Criminal (Tanzania),Use unconventional violence,Citizen (Tanzania),2010-01-18
30745,Lawyer/Attorney (Denmark),Accuse,Citizen (Denmark),2006-05-22
30746,Foreign Affairs (South Korea),Make statement,South Korea,2005-01-10
30747,Foreign Affairs (South Africa),Express intent to meet or negotiate,Iran,2014-06-14
30748,Israeli Defense Forces,Make statement,al-Aqsa Martyrs' Brigades,2005-11-01
30749,Malaysia,Sign formal agreement,Thailand,2006-04-14
30750,Congress (United States),Make statement,Iraq,2005-07-29
30751,Head of Government (Pakistan),Make statement,Pakistan administered Kashmir,2015-10-03
30752,Barack Obama,Make pessimistic comment,Iraq,2010-09-02
30753,Activist (Thailand),Make statement,Thailand,2010-09-21
30754,Michael Sata,Reject,Ruling Party (Zambia),2008-11-04
30755,Media Personnel (Japan),Make statement,Japan,2007-07-17
30756,Prime Minister Chaudhry,Criticize or denounce,Prime Minister Qarase,2006-04-25
30757,Citizen (Australia),Express intent to engage in diplomatic cooperation (such as policy support),Julia Gillard,2005-01-21
30758,Japan,Engage in material cooperation,South Korea,2008-04-02
30759,Armed Gang (Thailand),fight with small arms and light weapons,Citizen (Thailand),2010-03-11
30760,Barack Obama,Sign formal agreement,Raúl Castro,2015-07-19
30761,Criminal (China),Sexually assault,Women (China),2012-01-14
30762,Mwai Kibaki,Praise or endorse,China,2006-10-26
30763,France,"Arrest, detain, or charge with legal action",Men (France),2007-07-29
30764,Iran,Express intent to meet or negotiate,Nonaligned Movement,2012-08-18
30765,Shaukat Aziz,Make statement,Pervez Musharraf,2007-11-01
30766,Police (Australia),Demand,Citizen (Australia),2005-03-30
30767,China,Host a visit,Ma Ying Jeou,2015-05-05
30768,City Mayor (China),Make statement,China,2011-01-27
30769,South Korea,Consult,Japan,2008-11-27
30770,Police (Uganda),Use conventional military force,Citizen (Uganda),2015-09-11
30771,Sudan,Express intent to settle dispute,South Sudan,2012-03-29
30772,Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2010-04-05
30773,Wen Jiabao,Consult,Angela Merkel,2007-03-20
30774,Yasuo Fukuda,Engage in symbolic act,Lee Myung Bak,2008-02-25
30775,New Party (Taiwan),Make a visit,China,2005-07-07
30776,Cabinet / Council of Ministers / Advisors (United States),Engage in negotiation,Wang Yi,2013-07-02
30777,Thailand,Consult,Malaysia,2014-12-03
30778,Criminal (Mexico),Use unconventional violence,Mexico,2008-01-24
30779,Abdullah Gül,Make statement,Iran,2011-04-16
30780,China,Sign formal agreement,Japan,2007-08-08
30781,Citizen (Australia),Criticize or denounce,People Associated with the Opposition (Australia),2010-09-29
30782,France,Host a visit,Mohamed Ould Abdel Aziz,2012-11-30
30783,Carlos Saul Menem,Make statement,Cristina Fernández de Kirchner,2007-03-09
30784,Yasuo Fukuda,Make statement,Japan,2008-07-08
30785,China,Express intent to engage in diplomatic cooperation (such as policy support),Malaysia,2005-09-04
30786,Economist (Mexico),Make statement,Congress (Mexico),2012-02-29
30787,Frank Bainimarama,Demand that target yields,Prime Minister Qarase,2006-12-04
30788,Police (Egypt),Make statement,Other Authorities / Officials (Egypt),2006-12-07
30789,Barack Obama,Praise or endorse,Japan,2015-11-19
30790,Foreign Affairs (Romania),Make statement,Romania,2015-07-02
30791,Kuwait,Consult,United Arab Emirates,2014-09-15
30792,Wang Yi,Make statement,China,2013-11-15
30793,Mahmoud Ahmadinejad,Criticize or denounce,UN Security Council,2012-09-26
30794,Men (Argentina),Use unconventional violence,Business (Argentina),2012-12-19
30795,Shigeru Ishiba,Make a visit,China,2008-03-31
30796,Criminal (Australia),Threaten,Citizen (Australia),2012-03-07
30797,Barack Obama,Express intent to cooperate,Lee Myung Bak,2012-11-07
30798,Malaysia,Mediate,Moro Islamic Liberation Front,2006-02-06
30799,Media Personnel (New Zealand),Make statement,Police (New Zealand),2007-03-13
30800,Congress (United States),Sign formal agreement,South Korea,2011-10-17
30801,Government (Sudan),"Reject proposal to meet, discuss, or negotiate",Citizen (Sudan),2009-08-13
30802,Armed Gang (Thailand),fight with small arms and light weapons,Citizen (Thailand),2011-04-11
30803,Ivan Gasparovic,Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Hungary),2005-12-07
30804,Abdul-Karim Al-Arhabi,Make a visit,Japan,2008-04-10
30805,Iran,Engage in diplomatic cooperation,South Korea,2014-01-30
30806,China,Praise or endorse,Yemen,2011-11-24
30807,Sudan,Receive deployment of peacekeepers,African Union,2005-02-18
30808,China,Host a visit,Christine Lagarde,2011-06-09
30809,Ministry (Nigeria),Make statement,Government (Nigeria),2008-07-02
30810,Benjamin Netanyahu,Make statement,Mahmoud Abbas,2015-10-22
30811,Israeli Defense Forces,Use conventional military force,"Children (Palestinian Territory, Occupied)",2015-07-03
30812,John Garang,Make a visit,Sudan,2005-01-22
30813,Mahmoud Abbas,Make statement,Barack Obama,2013-03-22
30814,Mahmoud Ahmadinejad,Make statement,Iran,2006-08-27
30815,China,Host a visit,Evo Morales,2015-07-14
30816,Jian Yu,Make statement,France,2008-04-03
30817,Julia Gillard,Make an appeal or request,Citizen (Australia),2011-03-25
30818,City Mayor (Philippines),Demand,Police (Philippines),2013-07-16
30819,South Korea,Express intent to meet or negotiate,UN Security Council,2009-05-25
30820,France,Accuse,Iran,2006-02-17
30821,Ahmad Shuja Pasha,Engage in negotiation,Central Intelligence Agency,2011-06-10
30822,National Resistance Movement,Threaten,Citizen (Uganda),2005-12-06
30823,Mahmoud Ahmadinejad,Make statement,Iran,2010-05-23
30824,Protester (Bosnia and Herzegovina),Demonstrate or rally,Police (Bosnia and Herzegovina),2014-02-07
30825,Police (South Africa),Consult,The Daily News (South Africa),2007-03-28
30826,South Sudan,Express intent to cooperate,Sudan,2013-09-11
30827,Bureaucrat (Australia),Make an appeal or request,Citizen (Australia),2005-02-22
30828,Barack Obama,Make a visit,Ethiopia,2015-08-02
30829,Nigerian Navy,"Arrest, detain, or charge with legal action",Citizen (Nigeria),2013-06-19
30830,Japan,Express intent to meet or negotiate,South Korea,2012-05-07
30831,Dmitry Anatolyevich Medvedev,Praise or endorse,Barack Obama,2009-01-27
30832,Ministry (Brazil),Express intent to meet or negotiate,People Associated with the Opposition (Brazil),2005-08-14
30833,Head of Government (Pakistan),Make statement,Pervez Musharraf,2006-10-12
30834,Armed Rebel (Syria),Use unconventional violence,Police (Syria),2014-05-22
30835,National United Front for Democracy Against Dictatorship,Criticize or denounce,Abhisit Vejjajiva,2013-05-09
30836,Tony Blair,Engage in negotiation,Nuri al-Maliki,2006-05-25
30837,Employee (Saudi Arabia),Consult,Police (Saudi Arabia),2012-08-06
30838,Wen Jiabao,Make statement,Japan,2012-11-19
30839,Other Authorities / Officials (Nigeria),Threaten,Citizen (Nigeria),2009-05-12
30840,UN Security Council,Express intent to meet or negotiate,Sudan,2010-10-06
30841,Mahmoud Ahmadinejad,Make statement,Iran,2005-12-13
30842,Head of Government (Pakistan),Make a visit,Thailand,2013-11-21
30843,Citizen (Australia),Demand,Police (Australia),2007-05-16
30844,Xi Jinping,Consult,Barack Obama,2013-06-09
30845,Romania,Make statement,France,2010-11-05
30846,João Baptista Kussumua,Make statement,Angola,2010-07-19
30847,Lawyer/Attorney (Kenya),Make statement,Head of Government (Kenya),2013-11-23
30848,Donald Rumsfeld,Praise or endorse,Vietnam,2006-06-06
30849,Lawyer/Attorney (Australia),Accuse,Citizen (Australia),2015-12-22
30850,Vietnam,Host a visit,Cambodia,2012-11-15
30851,Armed Gang (Thailand),fight with small arms and light weapons,Citizen (Thailand),2006-11-09
30852,Health Ministry (Jordan),Make statement,Ministry (Jordan),2014-08-15
30853,Ministry (Iran),Make statement,China,2012-06-24
30854,Japan,Express intent to cooperate economically,Thailand,2005-11-26
30855,Thailand,Express intent to engage in diplomatic cooperation (such as policy support),Barack Obama,2009-04-03
30856,Envoy (United States),Consult,Nasser Judeh,2011-04-07
30857,Government Official (Vietnam),Make statement,Vietnam,2009-04-24
30858,Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2014-10-21
30859,Head of Government (South Korea),Make statement,South Korea,2011-09-07
30860,China,Engage in diplomatic cooperation,Kazakhstan,2009-05-20
30861,Roh Moo Hyun,Make statement,South Korea,2006-01-25
30862,Abdullah Gül,Sign formal agreement,Jack Straw,2005-10-09
30863,Barack Obama,Engage in negotiation,Benjamin Netanyahu,2010-09-01
30864,Citizen (Unidentified State Actor),Appeal for release of persons or property,China,2010-06-04
30865,Mallam Isa Yuguda,Make an appeal or request,Citizen (Nigeria),2013-04-23
30866,Umaru Musa Yar'Adua,Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2009-07-21
30867,Abdullah Gül,Make statement,Iran,2006-07-09
30868,Foreign Affairs (Israel),Accuse,Iran,2014-06-13
30869,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2010-11-25
30870,Abhisit Vejjajiva,Express intent to engage in diplomatic cooperation (such as policy support),National United Front for Democracy Against Dictatorship,2009-03-02
30871,Kazakhstan,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2009-06-04
30872,Military (South Sudan),Mobilize or increase armed forces,South Sudan,2014-01-16
30873,Police (Philippines),"Arrest, detain, or charge with legal action",Military (Philippines),2013-10-10
30874,Iran,Make an appeal or request,UN Security Council,2008-01-18
30875,Iran,Host a visit,Daniel Ortega,2007-06-09
30876,Mahmoud Abbas,Consult,Royal Administration (Saudi Arabia),2007-11-18
30877,Court Judge (United Kingdom),"Arrest, detain, or charge with legal action",Men (United Kingdom),2012-01-05
30878,Iraq,Host a visit,Iran,2013-07-26
30879,Kuwait,Host a visit,Nuri al-Maliki,2006-07-05
30880,Iran,Host a visit,Javier Solana,2008-05-28
30881,Barack Obama,Make statement,Iraq,2014-08-14
30882,Other Authorities / Officials (Egypt),Impose administrative sanctions,Iran,2010-12-30
30883,France,Criticize or denounce,Romania,2011-02-08
30884,Nuri al-Maliki,Make a visit,Iraq,2011-01-09
30885,Abhisit Vejjajiva,Make statement,Thailand,2011-04-06
30886,Ministry (Iran),Make statement,Iran,2012-07-04
30887,"Antony Harold Curties ""Tony"" Windsor",Make statement,Julia Gillard,2010-08-24
30888,Chongwadai,Make statement,Roh Moo Hyun,2005-07-04
30889,Iran,Engage in symbolic act,Islamic Preacher (Iran),2012-11-26
30890,Government (South Africa),Express intent to provide economic aid,South Africa,2014-10-20
30891,France,"Arrest, detain, or charge with legal action",Women (France),2008-11-01
30892,Armed Opposition (Sudan),Use unconventional violence,Citizen (Sudan),2010-08-11
30893,Sergey Bagapsh,Sign formal agreement,Dmitry Anatolyevich Medvedev,2010-02-23
30894,Ethiopia,Sign formal agreement,Eritrea,2006-03-06
30895,Protester (Egypt),Demonstrate or rally,Police (Egypt),2011-01-26
30896,Iran,Expel or deport individuals,Refugee (Afghanistan),2006-11-15
30897,Government Lawyer/Representative (Ukraine),Accuse,Police (Ukraine),2009-08-03
30898,Philip Hammond,Make optimistic comment,Iran,2015-08-16
30899,Head of Government (Pakistan),Discuss by telephone,Abdullah Gül,2010-11-30
30900,China,Host a visit,Kim Kye Gwan,2008-02-29
30901,Barack Obama,Make a visit,Japan,2013-11-21
30902,Djibouti,Engage in diplomatic cooperation,Yemen,2007-03-11
30903,Military (Philippines),Use conventional military force,Abu Sayyaf,2006-08-24
30904,Police (Philippines),Use conventional military force,Men (Philippines),2012-05-04
30905,Military Personnel - Special (Afghanistan),Use conventional military force,Insurgent (Afghanistan),2011-11-26
30906,Lawmaker (United Kingdom),Accuse,Tony Blair,2006-03-20
30907,Militant (Taliban),Assassinate,Women (Afghanistan),2010-08-16
30908,China,Make an appeal or request,South Africa,2010-06-10
30909,Abdullah Gül,Consult,Angela Merkel,2005-11-24
30910,Citizen (Sudan),Express intent to meet or negotiate,Sudan,2007-11-27
30911,Police (Mauritania),"Arrest, detain, or charge with legal action",Citizen (Mauritania),2008-10-03
30912,Government (Sudan),Use conventional military force,Citizen (Sudan),2005-04-29
30913,Isaias Afewerki,Make a visit,Eritrea,2006-03-14
30914,Kuwait,Host a visit,Nuri al-Maliki,2011-02-16
30915,Angela Merkel,Make a visit,Barack Obama,2011-06-07
30916,Women (Australia),Threaten,Police (Australia),2008-12-22
30917,Umaru Musa Yar'Adua,Consult,Ministry (Nigeria),2009-02-09
30918,Syrian Observatory for Human Rights,Make statement,Armed Rebel (Syria),2014-02-21
30919,Government Official (Mexico),Make statement,Mexico,2010-05-14
30920,Mahmoud Ahmadinejad,Make statement,Iran,2007-04-22
30921,Mehdi Karrubi,Make an appeal or request,Iran,2010-06-03
30922,China,Provide economic aid,International Government Organizations,2015-11-04
30923,Panhellenic Socialist Movement,Demand change in leadership,New Democracy,2009-07-22
30924,"Media (Palestinian Territory, Occupied)",Acknowledge or claim responsibility,Israeli Defense Forces,2007-09-11
30925,Catherine Ashton,Make statement,China,2014-03-19
30926,Xi Jinping,Engage in symbolic act,Scientist (China),2011-01-26
30927,Xi Jinping,Make a visit,Vietnam,2015-11-11
30928,Associated Press,Discuss by telephone,Police (Philippines),2007-05-31
30929,Japan,Criticize or denounce,Iran,2006-04-12
30930,Citizen (Nigeria),Complain officially,Presidential Candidate (Nigeria),2015-01-29
30931,France,Make statement,Iran,2009-05-25
30932,China,Express intent to cooperate,South Korea,2013-02-06
30933,Ashraf Ghani Ahmadzai,Consult,Barack Obama,2015-03-31
30934,Ministry (Brazil),Discuss by telephone,Cláudio Lembo,2006-05-15
30935,China,Sign formal agreement,Iran,2006-01-23
30936,Military Personnel (Philippines),Make statement,Military (Philippines),2007-05-29
30937,Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2009-01-05
30938,Kathimerini,Make statement,Alexis Tsipras,2015-10-15
30939,Yemen,Consult,Isaias Afewerki,2010-10-22
30940,China,Host a visit,Japan,2006-08-15
30941,Military Personnel - Special (India),Investigate,Men (India),2008-07-20
30942,Sudan,Engage in diplomatic cooperation,Ethiopia,2007-12-13
30943,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2011-05-12
30944,Police (Sudan),Use conventional military force,Citizen (Sudan),2007-06-20
30945,Lawyer/Attorney (Australia),Impose administrative sanctions,Citizen (Australia),2008-01-22
30946,Criminal (Brazil),Use unconventional violence,Citizen (Brazil),2006-08-02
30947,Barack Obama,Engage in negotiation,United Arab Emirates,2009-06-02
30948,Yemen,Consult,Kuwait,2012-07-18
30949,Xi Jinping,Make statement,China,2014-10-29
30950,Ali Abdullah Saleh,Make a visit,Royal Administration (Saudi Arabia),2010-02-23
30951,Military Personnel - Special (Afghanistan),Use conventional military force,Attacker (Afghanistan),2014-05-23
30952,China,Engage in diplomatic cooperation,Japan,2006-09-27
30953,China,Express intent to meet or negotiate,Association of Southeast Asian Nations,2011-01-18
30954,Iran,Host a visit,Julie Bishop,2015-04-20
30955,Police (Saudi Arabia),Investigate,Citizen (Saudi Arabia),2009-04-08
30956,Michael Sata,"Return, release person(s)",Citizen (Zambia),2013-10-25
30957,Laos,Express intent to meet or negotiate,China,2011-10-30
30958,Government Official (Japan),Make statement,Japan,2006-10-09
30959,Syrian Observatory for Human Rights,Make statement,Air Force (Syria),2014-09-20
30960,Citizen (Australia),Threaten with military force,Criminal (Australia),2005-02-03
30961,Lawyer/Attorney (Indonesia),Make an appeal or request,Police (Indonesia),2010-04-05
30962,Dr. Mohamed Haneef,Make statement,Medical Personnel (India),2008-12-24
30963,Kuwait,Engage in diplomatic cooperation,Iraq,2010-09-17
30964,Lawyer/Attorney (Australia),Make statement,Police (Australia),2007-11-21
30965,Citizen (Nigeria),Accuse,Government (Nigeria),2009-10-23
30966,Nuri al-Maliki,Make statement,Iraq,2010-11-28
30967,Military (New Zealand),Express intent to meet or negotiate,Police (New Zealand),2005-05-16
30968,Ministry (Nigeria),Make statement,Government (Nigeria),2014-10-03
30969,Citizen (Mauritius),Criticize or denounce,Government (Mauritius),2012-06-18
30970,Rapid Action Battalion,"Arrest, detain, or charge with legal action",Citizen (Bangladesh),2015-02-20
30971,Panhellenic Socialist Movement,Criticize or denounce,New Democracy,2015-09-01
30972,Thailand,Reject,Association of Southeast Asian Nations,2008-07-22
30973,Holy See,Grant diplomatic recognition,China,2006-03-26
30974,Wen Jiabao,Demand diplomatic cooperation (such as policy support),China,2009-06-26
30975,Citizen (Uganda),Make an appeal or request,National Resistance Movement,2015-09-14
30976,Member of Parliament (Australia),Appeal for diplomatic cooperation (such as policy support),Citizen (Australia),2014-04-30
30977,Tzipi Livni,Make statement,Naftali Bennett,2014-04-06
30978,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2012-12-07
30979,Ashraf Ghani Ahmadzai,Consult,Barack Obama,2014-09-07
30980,Japan,Host a visit,China,2005-09-30
30981,Protester (Egypt),"Protest violently, riot",Police (Egypt),2011-01-26
30982,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Kazakhstan,2008-07-05
30983,Head of Government (Nigeria),Praise or endorse,Government (Nigeria),2015-07-21
30984,Abhisit Vejjajiva,Consult,Cabinet / Council of Ministers / Advisors (Thailand),2009-10-07
30985,Military Personnel (Thailand),Investigate,Abhisit Vejjajiva,2010-02-24
30986,Japan,Engage in negotiation,China,2007-02-09
30987,Iran,Host a visit,Mahmoud Ahmadinejad,2007-10-23
30988,South Africa,Consult,Malawi,2005-05-31
30989,Barack Obama,Make statement,Iran,2012-10-30
30990,Thailand,Make an appeal or request,Citizen (Thailand),2006-03-26
30991,Cambodia,Engage in diplomatic cooperation,Vietnam,2007-11-16
30992,Abhisit Vejjajiva,Make statement,National United Front for Democracy Against Dictatorship,2010-04-04
30993,Lawyer/Attorney (South Korea),Make statement,Police (South Korea),2015-10-07
30994,Police (New Zealand),Make statement,Businessperson (New Zealand),2015-10-12
30995,Media Personnel (Iran),Make statement,Iran,2013-07-29
30996,Ministry (Brazil),Make statement,People Associated with the Opposition (Brazil),2006-05-09
30997,Sudan,Express intent to cooperate,Eritrea,2011-05-13
30998,Iran,Engage in negotiation,Malaysia,2006-05-13
30999,South Africa,Consult,Mexico,2007-06-01
31000,Vietnam,Sign formal agreement,Japan,2008-10-20
31001,Islamic Preacher (Iran),Consult,Iran,2013-09-23
31002,Police (Malaysia),Provide humanitarian aid,Men (Malaysia),2009-05-28
31003,Militia (Tanzania),Use unconventional violence,Citizen (Tanzania),2005-11-01
31004,Police (Libya),Make statement,Military Personnel (Libya),2015-04-12
31005,France,Host a visit,Head of Government (Egypt),2014-11-20
31006,China,Demand,Yoshihiko Noda,2011-08-29
31007,Citizen (Australia),Engage in symbolic act,Rights Activist (Australia),2006-05-22
31008,Protester (Egypt),Demonstrate or rally,Foreign Affairs (Israel),2011-08-20
31009,Yoshihiko Noda,Express intent to cooperate economically,China,2011-11-18
31010,Kitti Wasinondh,Make statement,Thailand,2006-10-31
31011,Seoul High Court,Make statement,Cho Hyun-ah,2015-05-22
31012,Government (Nigeria),Refuse to yield,Citizen (Nigeria),2013-09-24
31013,Citizen (Nigeria),Express intent to cooperate,Head of Government (Nigeria),2014-06-24
31014,Armed Rebel (Russia),fight with small arms and light weapons,Military (Russia),2006-02-09
31015,Japan,Express intent to cooperate,China,2005-10-17
31016,Barack Obama,Consult,Iran,2008-05-29
31017,Kuwait,Host a visit,Mahmoud Abbas,2006-02-06
31018,Government (Pakistan),Engage in diplomatic cooperation,Iran,2015-09-07
31019,Roh Moo Hyun,Express intent to meet or negotiate,Kuwait,2007-03-15
31020,Ministry (Sudan),Make statement,Sudan,2015-10-30
31021,Mahmoud Ahmadinejad,Make statement,Iran,2013-01-09
31022,Police (Philippines),Make statement,Thief (Philippines),2012-04-09
31023,Police (Tanzania),"Arrest, detain, or charge with legal action",Citizen (Tanzania),2013-01-28
31024,Boris Johnson,Consult,Citizen (United Kingdom),2009-06-24
31025,Shalva Natelashvili,Make an appeal or request,Government (Georgia),2008-05-22
31026,Angela Merkel,Host a visit,Wen Jiabao,2007-08-27
31027,Police (Sudan),"Arrest, detain, or charge with legal action",Criminal (Sudan),2006-09-08
31028,Thief (India),Kill by physical assault,Men (India),2015-10-12
31029,Teodoro Obiang Nguema Mbasogo,Engage in negotiation,Xi Jinping,2015-04-28
31030,Naval (United States),Provide humanitarian aid,Iran,2012-03-07
31031,Military Personnel (Yemen),Criticize or denounce,Yemen,2008-04-02
31032,Ministry (Iran),Make statement,Iran,2009-04-08
31033,Japan,"Reject proposal to meet, discuss, or negotiate",South Korea,2012-09-07
31034,Barack Obama,Demand,China,2011-09-02
31035,UN Security Council,Criticize or denounce,Eritrea,2006-10-18
31036,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2012-03-09
31037,United Arab Emirates,Make a visit,Kuwait,2008-06-05
31038,Barack Obama,Accuse,Iran,2015-05-15
31039,Moro Islamic Liberation Front,Use conventional military force,Police (Philippines),2015-02-05
31040,Barack Obama,Express intent to cooperate,Dmitry Anatolyevich Medvedev,2010-04-08
31041,South Sudan,Engage in diplomatic cooperation,Sudan,2013-03-30
31042,Men (Malaysia),Use unconventional violence,Police (Malaysia),2011-06-22
31043,Protester (Tanzania),Demonstrate or rally,Police (Tanzania),2011-01-10
31044,Barack Obama,Engage in negotiation,Benjamin Netanyahu,2010-06-24
31045,Criminal (Mexico),Use unconventional violence,Military (Mexico),2009-07-12
31046,Benazir Bhutto,Express intent to cooperate economically,Pervez Musharraf,2008-01-11
31047,China,Engage in negotiation,Ma Ying Jeou,2008-10-21
31048,Military Personnel (Philippines),Make statement,Military (Philippines),2011-11-01
31049,Barack Obama,Consult,Nuri al-Maliki,2012-07-19
31050,Saud bin Faisal bin Abdul-Aziz,Make a visit,Head of Government (Egypt),2014-09-08
31051,China,Express intent to cooperate economically,Military (Philippines),2007-09-05
31052,South Korea,Express intent to engage in diplomatic cooperation (such as policy support),Mexico,2005-03-08
31053,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2012-06-10
31054,Foreign Affairs (Mauritania),Make statement,Sudan,2011-09-19
31055,Japan,Engage in negotiation,South Korea,2015-12-15
31056,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2012-01-02
31057,Citizen (Zambia),"Reject proposal to meet, discuss, or negotiate",Michael Sata,2006-04-13
31058,China,Host a visit,Japan,2006-02-23
31059,Laos,Host a visit,Association of Southeast Asian Nations,2005-08-30
31060,Mahmoud Ahmadinejad,Make statement,Iran,2007-07-12
31061,Police (Malaysia),"Arrest, detain, or charge with legal action",Businessperson (Malaysia),2005-06-30
31062,Protester (Thailand),"Obstruct passage, block",Thailand,2014-02-19
31063,Isaias Afewerki,Engage in negotiation,Qatar,2009-03-13
31064,Ma Ying Jeou,Express intent to settle dispute,China,2008-07-22
31065,France,Consult,Foreign Affairs (Israel),2014-01-16
31066,Japan,Make statement,South Korea,2006-06-14
31067,Christine Lagarde,Make statement,Government (France),2011-04-11
31068,France,Consult,Cabinet / Council of Ministers / Advisors (United States),2006-02-03
31069,South Korea,Express intent to cooperate,China,2014-05-19
31070,Angela Merkel,Make a visit,Head of Government (Egypt),2010-09-22
31071,Malaysia,"Arrest, detain, or charge with legal action",Citizen (Australia),2014-07-10
31072,Togo,Engage in diplomatic cooperation,China,2009-08-27
31073,Evo Morales,Make statement,Iran,2008-03-19
31074,Iran,Host a visit,Mahmoud Ahmadinejad,2013-06-27
31075,Japan,Consult,China,2007-10-25
31076,South Korea,Consult,Japan,2009-04-14
31077,Ali Abdullah Saleh,Consult,Head of Government (Qatar),2011-01-12
31078,Vietnam,Consult,Cambodia,2010-04-01
31079,Armed Opposition (Sudan),Use unconventional violence,Citizen (Sudan),2005-03-02
31080,South Korea,Consult,Japan,2005-12-12
31081,South Korea,Express intent to meet or negotiate,Association of Southeast Asian Nations,2007-10-08
31082,Head of Government (Pakistan),Make statement,Government (Pakistan),2008-05-13
31083,Lee Myung Bak,Express intent to meet or negotiate,United Arab Emirates,2011-03-02
31084,Citizen (Australia),Make optimistic comment,Police (Australia),2008-11-28
31085,Spy Plane (United States),Increase military alert status,Iran,2011-07-20
31086,Iraq,Express intent to cooperate,China,2015-12-23
31087,Jaroslav Baska,Criticize or denounce,Lubomír Galko,2012-02-15
31088,Lawyer/Attorney (Australia),Investigate,Citizen (Australia),2013-04-16
31089,Citizen (Nigeria),Accuse,Government (Nigeria),2009-10-27
31090,Muslim Militant (Philippines),Use unconventional violence,Military (Philippines),2013-05-28
31091,Abhisit Vejjajiva,Make statement,Cambodia,2010-08-09
31092,Media Personnel (New Zealand),Make statement,Police (New Zealand),2007-01-31
31093,France,Engage in negotiation,Iran,2015-10-28
31094,Military Personnel - Special (Afghanistan),Use conventional military force,Attacker (Afghanistan),2013-10-22
31095,Iran,Reject,UN Security Council,2007-02-22
31096,Iran,Express intent to cooperate,UN Security Council,2014-07-19
31097,Lawyer/Attorney (Australia),"Return, release person(s)",Citizen (Australia),2009-10-06
31098,Guerrilla (Colombia),Make an appeal or request,Colombia,2009-09-27
31099,Donald Rumsfeld,Make an appeal or request,Thailand,2005-06-06
31100,Candida Celeste da Silva,Make a visit,Angola,2008-03-18
31101,Jatuporn Prompan,Make statement,Abhisit Vejjajiva,2010-08-12
31102,Julia Gillard,Make a visit,South Korea,2011-04-28
31103,South Korea,Criticize or denounce,China,2010-12-14
31104,Japan,Engage in diplomatic cooperation,China,2008-05-09
31105,Nuri al-Maliki,Consult,Massoud Barzani,2014-03-01
31106,Police (Egypt),Use tactics of violent repression,Protester (Egypt),2014-03-07
31107,China,Engage in diplomatic cooperation,Bahamas,2009-02-19
31108,Liu Zhenmin,Express intent to meet or negotiate,China,2015-07-23
31109,South Sudan,Accuse,Sudan,2012-05-16
31110,Peter Costello,Make an appeal or request,People Associated with the Opposition (Australia),2007-10-16
31111,Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),China,2010-09-16
31112,Citizen (Sudan),Express intent to provide military protection or peacekeeping,Sudan,2005-02-18
31113,Police (Australia),Express intent to meet or negotiate,Citizen (Australia),2015-05-11
31114,Abdullah Gül,Make a visit,Iran,2006-06-26
31115,China,Consult,Associated Press,2005-05-05
31116,Citizen (Tanzania),Demand,Police (Tanzania),2015-10-28
31117,Foreign Affairs (France),Consult,Iran,2013-11-20
31118,China,Host a visit,Donald Rumsfeld,2005-10-24
31119,Government (Nigeria),Express intent to cooperate,Citizen (Nigeria),2015-02-26
31120,Japan,Reject,Xi Jinping,2014-07-04
31121,Head of Government (Turkmenistan),Make a visit,China,2006-03-14
31122,Afghan National Army,Use conventional military force,Militant (Taliban),2009-12-23
31123,UN Security Council,Sign formal agreement,Iran,2007-01-03
31124,Armed Gang (Thailand),fight with small arms and light weapons,Citizen (Thailand),2005-04-06
31125,Agence France-Presse,Consult,News Editor (Russia),2014-03-20
31126,Police (Australia),Investigate,Women (Australia),2008-12-27
31127,Middle East,Host a visit,Barack Obama,2013-04-04
31128,China,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2013-11-15
31129,Police (Australia),Confiscate property,Citizen (Australia),2012-10-04
31130,Police (Kenya),"Arrest, detain, or charge with legal action",Men (Kenya),2014-01-15
31131,Military Personnel (Philippines),Make statement,Military (Philippines),2012-01-22
31132,Al-Shabaab,Use conventional military force,African Union,2014-12-27
31133,Cambodia,"Arrest, detain, or charge with legal action",Men (United Kingdom),2013-07-03
31134,South Sudan,Make an appeal or request,Gazprom,2013-02-28
31135,South Korea,Express intent to engage in diplomatic cooperation (such as policy support),Association of Southeast Asian Nations,2005-03-05
31136,Christine Lagarde,Make statement,France,2010-03-16
31137,Verkhovna Rada,Make an appeal or request,Head of Government (Ukraine),2014-09-02
31138,Cambodia,Express intent to cooperate,Vietnam,2006-12-18
